entryId,roomNo,StudentID,DeviceModel,BatteryLifeBefore,BatteryLifeAfter,DateTime,NumScans,AvgDataPerScan
1,204,2005038,M2101K7BG,80,80,18/11/2024: 12:58:47,5,14.0
2,204,2005102,RMX3286,40,40,18/11/2024: 13:11:22,20,9.15
3,204,2005074,motorola edge 50 pro,31,31,18/11/2024: 13:10:02,20,13.3
4,204,2005094,RMX3370,35,34,18/11/2024: 13:11:05,20,11.15
5,204,2005084,SM-G990B2,52,52,18/11/2024: 13:11:09,20,15.3
6,204,2005090,M2006C3MII,56,56,18/11/2024: 13:11:11,20,6.1
7,204,2005085,SM-A346E,62,62,18/11/2024: 13:11:23,20,18.8
8,204,2005063,23021RAAEG,58,58,18/11/2024: 13:12:24,20,12.4
9,204,2005077,SC-53C,39,39,18/11/2024: 13:13:32,20,7.7
10,204,2005112,motorola edge 50 pro,78,77,18/11/2024: 13:14:49,20,16.95
11,204,2005092,Infinix X6837,74,74,18/11/2024: 13:14:55,20,16.6
12,204,2005062,SM-A346E,48,47,18/11/2024: 13:15:15,4,20.75
13,204,2005105,RMX3085,82,82,18/11/2024: 13:15:23,20,16.5
14,204,2005081,2201117TG,44,43,18/11/2024: 13:15:30,14,10.14
15,204,1905010,SM-G615F,82,82,18/11/2024: 13:15:42,20,15.7
16,204,2005108,SM-E225F,50,50,18/11/2024: 13:16:07,20,13.25
17,204,1905078_Teacher,SM-M127G,4,4,18/11/2024: 13:20:00,20,11.5
18,204,1905009teacher,RMX3363,44,43,18/11/2024: 13:20:35,20,20.7
19,204,2005117,SM-M405F,14,11,18/11/2024: 13:31:29,9,14.44
20,204,2005110,RMX3085,2,80,18/11/2024: 16:56:44,10,13.4
21,204,2005119,Pixel 7a,45,45,18/11/2024: 13:08:53,3,14.0
