entryId,roomNo,StudentID,DeviceModel,BatteryLifeBefore,BatteryLifeAfter,DateTime,NumScans,AvgDataPerScan
1,203,2105005,Pixel 6,62,61,03/05/2025: 10:53:30,20,19.95
2,203,2105009,SM-A336E,52,52,03/05/2025: 10:55:17,18,16.06
3,203,2105004,SM-S928B,7,7,03/05/2025: 10:55:23,18,15.17
4,203,2105029,SM-N986N,81,81,03/05/2025: 10:55:28,18,18.94
5,203,2105055,SM-A135F,55,55,03/05/2025: 10:56:43,5,15.0
6,203,2105009,SM-A336E,52,51,03/05/2025: 10:58:50,18,19.78
7,203,2105030,M2101K6I,34,34,03/05/2025: 10:52:45,18,14.83
8,203,2105044,Pixel 7 Pro,55,55,03/05/2025: 10:53:19,18,14.28
9,203,2105056,SM-M325F,80,80,03/05/2025: 10:53:24,18,16.83
10,203,2105044,Pixel 7 Pro,54,54,03/05/2025: 10:55:28,18,16.33
11,203,2105010,RMX3363,68,67,03/05/2025: 10:55:25,18,20.0
12,203,2105001,SM-G981V,51,50,03/05/2025: 10:55:31,18,19.06
13,203,2105050,Pixel 7 Pro,26,26,03/05/2025: 10:55:40,18,14.33
14,203,2105052,V2058,70,69,03/05/2025: 10:57:30,18,12.44
15,203,2105059,SM-A226B,32,32,03/05/2025: 11:00:54,18,20.22
16,203,2105018,Pixel 7 Pro,65,65,03/05/2025: 10:52:26,18,14.83
17,203,2105018,Pixel 7 Pro,64,64,03/05/2025: 10:56:21,18,15.0
18,203,2105015,SM-A346E,95,95,03/05/2025: 06:42:49,18,19.61
19,203,2105028,SM-S918B,58,58,03/05/2025: 10:51:52,11,19.36
20,203,2105020,23021RAAEG,29,29,03/05/2025: 10:53:57,18,12.06
21,203,2105055,SM-A135F,56,55,03/05/2025: 10:54:14,18,19.22
22,203,2105024,SM-E225F,78,78,03/05/2025: 10:54:51,18,14.28
23,203,2105014,22101320I,90,90,03/05/2025: 10:55:19,18,6.39
24,203,1905114,SM-M156B,34,34,03/05/2025: 10:55:19,18,19.44
25,203,2105002,SM-A346E,2,2,03/05/2025: 10:55:20,18,13.39
26,203,2105003,SM-A356E,20,20,03/05/2025: 10:55:20,18,9.28
27,203,2105033,SM-A556E,88,88,03/05/2025: 10:55:22,18,19.44
