entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
1,20,30:b5:c2:ea:5b:44,DataLab@BUET,3,-64.0,3.56,-64.0,3,3.56
1,20,00:22:b0:05:f3:bc,CSE-204,2,-72.0,0.0,-72.0,2,0.0
1,20,36:20:f9:a1:88:62,CSE OFFICE,1,-68.0,0.0,-68.0,1,0.0
1,20,60:63:4c:31:37:40,CSE-303,18,-63.11,0.99,-63.0,11,0.0
1,20,18:0f:76:c3:06:8d,CSE-304,1,-70.0,0.0,-70.0,1,0.0
1,20,60:63:4c:31:37:48,dlink,20,-88.2,1.12,-88.08,12,0.28
1,20,36:62:f9:a1:88:57,CSE OFFICE,16,-91.62,0.6,-91.89,9,0.31
1,20,bc:22:28:21:09:21,,17,-58.24,1.73,-57.9,10,1.45
1,20,36:62:f9:a1:88:63,CSE OFFICE,17,-86.94,0.64,-87.0,10,0.0
1,20,60:63:4c:31:37:60,CSE-306,14,-86.57,0.82,-87.0,9,0.0
1,20,bc:22:28:21:09:24,CSE-205,1,-60.0,0.0,-60.0,1,0.0
1,20,34:e8:94:10:7d:fa,Hall of Fame,1,-77.0,0.0,-77.0,1,0.0
2,18,bc:22:28:21:09:24,CSE-205,16,-62.94,1.56,-62.44,9,0.96
2,18,30:b5:c2:ea:5b:44,DataLab@BUET,17,-62.88,1.94,-62.6,10,1.2
2,18,00:22:b0:05:f3:bc,CSE-204,12,-66.67,3.22,-68.0,7,0.0
2,18,36:20:f9:a1:88:62,CSE OFFICE,2,-69.0,1.0,-69.0,2,1.0
2,18,60:63:4c:31:37:40,CSE-303,17,-69.24,2.29,-70.0,10,1.61
2,18,36:62:f9:a1:88:63,CSE OFFICE,2,-87.0,0.0,-87.0,2,0.0
2,18,36:62:f9:a1:88:57,CSE OFFICE,1,-87.0,0.0,-87.0,1,0.0
2,18,36:20:f9:a1:88:56,CSE OFFICE,1,-68.0,0.0,-68.0,1,0.0
2,18,36:20:f9:a1:8b:8e,CSE OFFICE,1,-74.0,0.0,-74.0,1,0.0
2,18,bc:22:28:21:09:21,,4,-72.25,1.3,-72.25,4,1.3
2,18,18:0f:76:c3:06:8d,CSE-304,3,-76.0,0.0,-76.0,3,0.0
3,18,36:20:f9:a1:88:62,CSE OFFICE,14,-59.5,2.95,-60.33,9,1.89
3,18,36:62:f9:a1:88:63,CSE OFFICE,17,-81.0,0.69,-81.1,10,0.3
3,18,bc:22:28:21:09:21,,3,-63.67,1.25,-63.67,3,1.25
3,18,60:63:4c:31:37:40,CSE-303,1,-54.0,0.0,-54.0,1,0.0
3,18,36:20:f9:a1:88:56,CSE OFFICE,9,-73.0,0.0,-73.0,6,0.0
3,18,18:0f:76:c3:06:8d,CSE-304,1,-66.0,0.0,-66.0,1,0.0
4,18,60:63:4c:31:37:40,CSE-303,17,-55.41,2.17,-55.0,10,1.67
4,18,bc:22:28:21:09:24,CSE-205,8,-58.75,3.83,-59.8,5,2.4
4,18,bc:22:28:21:09:21,,14,-55.79,5.88,-53.56,9,1.07
4,18,00:22:b0:05:f3:bc,CSE-204,11,-60.55,0.99,-61.0,6,0.0
4,18,36:62:f9:a1:88:63,CSE OFFICE,13,-84.15,1.79,-84.0,8,0.0
4,18,18:0f:76:c3:06:8d,CSE-304,2,-64.5,2.5,-64.5,2,2.5
4,18,36:20:f9:a1:88:62,CSE OFFICE,8,-65.62,2.96,-66.6,5,1.96
4,18,36:20:f9:a1:88:56,CSE OFFICE,5,-69.0,2.0,-68.0,3,0.0
4,18,34:e8:94:10:7d:fa,Hall of Fame,1,-79.0,0.0,-79.0,1,0.0
4,18,26:2f:d0:88:39:a2,IAC,1,-71.0,0.0,-71.0,1,0.0
4,18,5e:a9:31:22:bb:0a,CSE-LAB,1,-80.0,0.0,-80.0,1,0.0
5,5,bc:22:28:21:09:24,CSE-205,2,-61.5,7.5,-61.5,2,7.5
5,5,bc:22:28:21:09:21,,5,-70.2,3.49,-68.67,3,0.94
5,5,30:b5:c2:ea:5b:44,DataLab@BUET,4,-60.5,4.33,-60.5,4,4.33
5,5,36:62:f9:a1:88:63,CSE OFFICE,4,-85.5,2.6,-85.5,4,2.6
5,5,00:22:b0:05:f3:bc,CSE-204,1,-65.0,0.0,-65.0,1,0.0
5,5,60:63:4c:31:37:40,CSE-303,3,-63.0,0.0,-63.0,3,0.0
6,18,bc:22:28:21:09:24,CSE-205,6,-64.33,2.49,-65.0,3,0.0
6,18,bc:22:28:21:09:21,,4,-73.0,0.0,-73.0,4,0.0
6,18,30:b5:c2:ea:5b:44,DataLab@BUET,16,-67.19,2.24,-67.89,9,1.66
6,18,60:63:4c:31:37:40,CSE-303,17,-70.59,3.07,-71.3,10,1.55
6,18,18:0f:76:c3:06:8d,CSE-304,4,-76.0,0.0,-76.0,4,0.0
6,18,36:20:f9:a1:88:56,CSE OFFICE,12,-76.17,1.72,-76.0,7,0.0
6,18,36:20:f9:a1:88:62,CSE OFFICE,11,-73.27,0.62,-73.0,6,0.0
6,18,36:20:f9:a1:8b:8e,CSE OFFICE,9,-80.0,0.0,-80.0,6,0.0
6,18,36:62:f9:a1:88:63,CSE OFFICE,1,-87.0,0.0,-87.0,1,0.0
6,18,00:22:b0:05:f3:bc,CSE-204,1,-70.0,0.0,-70.0,1,0.0
7,18,36:62:f9:a1:88:63,CSE OFFICE,14,-91.07,1.44,-91.33,9,0.47
7,18,30:b5:c2:ea:5b:44,DataLab@BUET,15,-61.87,2.8,-61.67,9,1.7
7,18,60:63:4c:31:37:40,CSE-303,11,-64.45,2.31,-64.33,6,1.7
7,18,36:20:f9:a1:88:62,CSE OFFICE,1,-76.0,0.0,-76.0,1,0.0
7,18,36:62:f9:a1:88:57,CSE OFFICE,10,-89.8,2.18,-90.0,6,1.91
7,18,bc:22:28:21:09:21,,9,-65.67,3.23,-66.0,6,3.0
7,18,36:20:f9:a1:88:56,CSE OFFICE,1,-70.0,0.0,-70.0,1,0.0
7,18,00:22:b0:05:f3:bc,CSE-204,1,-76.0,0.0,-76.0,1,0.0
8,18,36:62:f9:a1:88:57,CSE OFFICE,3,-93.0,0.0,-93.0,3,0.0
8,18,00:22:b0:05:f3:bc,CSE-204,17,-63.18,3.03,-62.9,10,0.83
8,18,60:63:4c:31:37:40,CSE-303,3,-61.0,0.82,-61.0,3,0.82
8,18,36:62:f9:a1:88:63,CSE OFFICE,5,-90.2,1.6,-89.67,3,0.94
8,18,60:63:4c:31:37:48,dlink,18,-89.0,1.29,-88.91,11,1.0
8,18,bc:22:28:21:09:21,,4,-66.25,3.7,-66.25,4,3.7
8,18,18:0f:76:c3:06:8d,CSE-304,10,-74.1,1.64,-74.17,6,1.34
8,18,36:20:f9:a1:88:56,CSE OFFICE,3,-63.0,0.0,-63.0,3,0.0
8,18,30:b5:c2:ea:5b:44,DataLab@BUET,5,-62.2,3.92,-61.67,3,3.77
8,18,36:20:f9:a1:88:62,CSE OFFICE,3,-69.0,0.0,-69.0,3,0.0
9,18,30:b5:c2:ea:5b:44,DataLab@BUET,12,-59.08,1.04,-59.0,7,0.0
9,18,36:62:f9:a1:88:63,CSE OFFICE,6,-90.67,2.49,-90.0,3,0.0
