macAddress,ssid,total_count
60:63:4c:31:37:40,CSE-303,96
36:62:f9:a1:88:63,CSE OFFICE,83
2c:fe:e2:59:d0:c2,Horion_e9,83
c2:3b:04:a2:01:1f,getIP().hackDevice(),79
00:22:b0:05:f3:bc,CSE-204,78
18:0f:76:c3:06:8d,CSE-304,76
36:20:f9:a1:88:62,CSE OFFICE,74
30:b5:c2:ea:5b:44,DataLab@BUET,73
4e:e8:ef:1a:c1:95,Mahdi,71
34:60:f9:a1:88:63,,71
7a:ae:58:61:a1:27,NK,71
bc:22:28:21:09:22,,68
bc:22:28:21:09:21,,67
36:20:f9:a1:88:56,CSE OFFICE,66
aa:dc:7e:ea:37:18,moto edge 50 neo_3238,66
ba:61:33:5d:51:8b,Oggy,64
46:c4:90:f1:0a:2a,Galaxy S23 Ultra 8407,63
76:75:55:f3:a7:bd,Redmi Note 13 Pro,62
c6:10:ef:ee:57:ec,pixel,61
7a:ec:99:a0:87:01,Abhishek's A55,59
34:60:f9:a1:88:62,,59
1a:50:a7:f3:20:79,DoYouKnow ,58
8e:fa:5f:79:06:05,Ei j eta amar wifi,58
36:62:f9:a1:88:57,CSE OFFICE,57
62:d5:76:41:44:83,Pixel,56
3e:92:f7:29:0d:11,Abrar Zahin's Galaxy A33 5G,55
12:38:f1:f0:25:6e,OPPO F21 Pro,54
56:f1:5f:2e:f3:7a,Horion_yj,52
bc:22:28:21:55:6e,CSE-104,51
34:60:f9:a1:88:57,,47
fa:b5:62:5b:af:73,Redmi Note 10S,46
34:60:f9:a1:88:56,,43
1c:61:b4:9c:7a:1a,,42
bc:22:28:21:09:24,CSE-205,42
5a:e6:b4:de:a1:ae,realme 9,40
ee:ec:4e:98:5f:81,,40
5e:a9:31:22:bb:0a,CSE-LAB,40
96:21:ee:e2:9f:97,Tanvir,38
24:2f:d0:88:39:a2,,38
c2:c4:fb:a2:01:1f,getIP().hackDevice(),38
34:e8:94:10:7d:fa,Hall of Fame,37
e2:fd:30:fe:69:73,Anirban,36
8a:c6:f0:bb:61:49,amim,36
1c:61:b4:9c:79:f2,,35
0a:54:a5:5f:17:37,Galaxy S22C48A,34
10:62:eb:77:b7:42,CSE-G04,34
26:2f:d0:88:39:a2,IAC,34
1e:61:b4:ac:7a:1a,CSE-306BL,33
5c:e9:31:22:bb:0a,,32
1a:aa:2b:0a:98:c9,Ekta hotspot,32
1e:61:b4:ac:79:f2,CSE-306BL,31
60:63:4c:31:37:48,dlink,30
60:63:4c:31:37:60,CSE-306,30
8e:94:a9:8d:65:5b,vivo Y27s,29
bc:62:ce:6a:3a:2a,RBH 204,28
02:59:d2:85:5e:aa,Omi,28
5c:e8:d3:0a:1e:e0,Free,28
36:20:f9:a1:8b:8e,CSE OFFICE,27
52:29:6f:70:e8:02,Shakshor,25
34:60:f9:a1:8b:8e,,24
00:22:b0:05:f3:51,CSE-108,22
c6:ef:10:ee:57:ec,pixel,21
6a:66:d2:07:a3:61,Juice Pila do. Mosambi Ka! 🥹,19
5e:a9:31:22:be:d6,CSE-LAB,18
56:f1:5f:72:68:1c,Horion_dx,18
5a:d6:bc:29:37:4c,AndroidAP,18
24:2f:d0:88:4c:62,,18
5c:e9:31:22:be:d6,,17
da:55:41:3a:44:5b,Ara,17
bc:22:28:21:09:ba,CSE-206,17
26:e4:72:86:6b:66,Torr20-tab,17
70:4c:a5:64:bf:18,BUET-Free-WiFi,16
26:2f:d0:88:4c:62,IAC,16
5c:e9:31:22:c8:de,,16
5e:a9:31:22:c8:de,CSE-LAB,15
fe:a6:d1:4e:1c:86,narzo 50,15
70:4c:a5:64:bf:19,eduroam,15
e6:03:58:bb:71:13,Norse Network,14
