entryId,roomNo,60:63:4c:31:37:40_CSE-303,30:b5:c2:ea:5b:44_DataLab@BUET,18:0f:76:c3:06:8d_CSE-304,00:22:b0:05:f3:bc_CSE-204,bc:22:28:21:09:21_nan,36:20:f9:a1:88:62_CSE OFFICE,36:20:f9:a1:88:56_CSE OFFICE,bc:22:28:21:09:24_CSE-205,36:62:f9:a1:88:63_CSE OFFICE,bc:22:28:21:55:6b_CSE-104,34:e8:94:10:7d:fa_Hall of Fame,36:20:f9:a1:8b:8e_CSE OFFICE,36:20:f9:a1:8b:8e_CSE OFFICE,5e:a9:31:22:bb:0a_CSE-LAB,bc:22:28:21:55:6e_CSE-104,bc:22:28:21:09:ba_CSE-206,26:2f:d0:88:39:a2_IAC,36:62:f9:a1:88:57_CSE OFFICE,60:63:4c:31:37:60_CSE-306,10:62:eb:77:b7:42_CSE-G04,00:1e:2a:ba:c8:20_CSE-401,70:4c:a5:95:b6:00_BUET-Free-WiFi,60:63:4c:31:37:48_dlink
1,203,-63.0,-64.0,-70.0,-72.0,-58.24,-68.0,-90.0,-60.0,-87.0,-90.0,-77.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-91.62,-87.0,-90.0,-90.0,-90.0,-88.0
2,203,-69.24,-62.88,-76.0,-68.0,-72.25,-69.0,-68.0,-62.67,-87.0,-90.0,-90.0,-74.0,-74.0,-90.0,-90.0,-90.0,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0
3,203,-54.0,-90.0,-66.0,-90.0,-63.67,-59.5,-73.0,-90.0,-81.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
4,203,-55.41,-90.0,-64.5,-61.0,-53.42,-65.62,-68.0,-58.75,-84.0,-90.0,-79.0,-90.0,-90.0,-80.0,-90.0,-90.0,-71.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
5,203,-63.0,-60.5,-90.0,-65.0,-68.5,-90.0,-90.0,-61.5,-85.5,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
6,203,-70.59,-67.19,-76.0,-70.0,-73.0,-73.0,-76.0,-65.0,-87.0,-90.0,-90.0,-80.0,-80.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
7,203,-64.45,-61.87,-90.0,-76.0,-65.67,-76.0,-70.0,-90.0,-91.38,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-89.8,-90.0,-90.0,-90.0,-90.0,-90.0
8,203,-61.0,-62.2,-74.1,-62.2,-66.25,-69.0,-63.0,-90.0,-90.2,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-93.0,-90.0,-90.0,-90.0,-90.0,-89.0
9,203,-73.0,-59.0,-90.0,-61.0,-65.5,-72.0,-90.0,-61.2,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-91.17,-90.0,-90.0,-90.0,-90.0,-90.0
10,203,-63.91,-62.3,-75.2,-63.22,-64.2,-90.0,-59.33,-64.29,-87.83,-90.0,-90.0,-90.0,-90.0,-90.0,-84.0,-90.0,-90.0,-89.17,-90.0,-73.0,-90.0,-90.0,-87.39
11,203,-90.0,-90.0,-69.0,-71.33,-90.0,-90.0,-90.0,-90.0,-83.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-69.33,-90.0,-90.0,-83.33
12,203,-62.0,-90.0,-74.0,-70.0,-69.19,-65.0,-69.0,-61.0,-88.33,-90.0,-90.0,-90.0,-90.0,-68.0,-90.0,-90.0,-73.0,-89.5,-90.0,-90.0,-90.0,-90.0,-90.0
13,203,-57.0,-90.0,-90.0,-90.0,-64.0,-67.0,-66.0,-60.25,-86.25,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-82.0,-90.0,-90.0,-90.0,-89.62
14,203,-71.0,-70.0,-90.0,-90.0,-73.29,-90.0,-82.0,-69.67,-94.8,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
15,203,-61.6,-67.33,-72.5,-79.0,-68.25,-75.0,-81.0,-62.0,-89.0,-90.0,-82.0,-86.0,-86.0,-90.0,-90.0,-90.0,-90.0,-90.0,-85.0,-77.5,-90.0,-90.0,-90.0
16,203,-60.2,-63.71,-74.0,-67.0,-71.0,-66.8,-73.0,-90.0,-91.33,-90.0,-90.0,-90.0,-90.0,-90.0,-82.0,-90.0,-90.0,-89.17,-90.0,-90.0,-90.0,-90.0,-84.67
17,203,-58.0,-67.0,-70.0,-60.0,-70.33,-70.0,-90.0,-64.0,-89.5,-90.0,-90.0,-90.0,-90.0,-69.0,-90.0,-90.0,-90.0,-92.0,-90.0,-75.0,-90.0,-90.0,-85.72
18,203,-90.0,-90.0,-90.0,-90.0,-64.0,-90.0,-90.0,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-64.0,-90.0,-90.0,-90.0,-88.0,-90.0,-76.0,-90.0,-90.0,-90.0
19,203,-65.4,-68.0,-90.0,-90.0,-69.25,-90.0,-66.38,-90.0,-92.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-92.0,-90.0,-90.0,-90.0,-90.0,-90.0
20,203,-71.0,-69.0,-69.0,-58.0,-60.0,-67.75,-90.0,-57.29,-88.53,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-76.0,-90.0,-90.0,-90.0
21,203,-55.5,-90.0,-69.0,-69.0,-61.4,-65.82,-90.0,-57.0,-90.35,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
