scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
1,1,0,2462,3e:92:f7:29:0d:11,Abrar Zahin's Galaxy A33 5G,-67
2,1,0,5785,62:d5:76:41:44:83,Pixel,-65
3,1,0,5785,2c:fe:e2:59:d0:c2,Horion_e9,-69
4,1,0,5805,5c:e9:31:22:bb:0b,,-94
5,1,0,5745,02:59:d2:85:5e:aa,Omi,-94
6,1,0,2412,ba:61:33:5d:51:8b,Oggy,-52
7,1,0,5805,5e:ea:31:22:bb:0b,CSE-LAB,-93
8,1,0,2457,30:b5:c2:ea:5b:44,DataLab@BUET,-61
9,1,0,2462,5a:d6:bc:29:37:4c,AndroidAP,-67
10,1,0,2437,7a:ec:99:a0:87:01,Abhishek's A55,-51
11,1,0,5785,1a:50:a7:f3:20:79,DoYouKnow ,-88
12,1,0,2412,00:22:b0:05:f3:bc,CSE-204,-72
13,1,0,2447,36:20:f9:a1:88:62,CSE OFFICE,-68
14,1,0,2462,60:63:4c:31:37:40,CSE-303,-62
15,1,0,2412,18:0f:76:c3:06:8d,CSE-304,-70
16,1,0,2462,12:38:f1:f0:25:6e,OPPO F21 Pro,-64
17,1,0,5745,ee:ec:4e:98:5f:81,,-75
18,1,0,2437,4e:e8:ef:1a:c1:95,Mahdi,-67
19,1,0,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-73
20,1,0,5240,60:63:4c:31:37:48,dlink,-87
21,1,1,5785,62:d5:76:41:44:83,Pixel,-67
22,1,1,5785,2c:fe:e2:59:d0:c2,Horion_e9,-70
23,1,1,5745,34:60:f9:a1:88:63,,-88
24,1,1,5745,36:62:f9:a1:88:57,CSE OFFICE,-91
25,1,1,5745,bc:22:28:21:09:21,,-59
26,1,1,2412,ba:61:33:5d:51:8b,Oggy,-49
27,1,1,2437,7a:ec:99:a0:87:01,Abhishek's A55,-56
28,1,1,5785,1a:50:a7:f3:20:79,DoYouKnow ,-90
29,1,1,2462,60:63:4c:31:37:40,CSE-303,-66
30,1,1,2412,7a:ae:58:61:a1:27,NK,-64
31,1,1,2462,12:38:f1:f0:25:6e,OPPO F21 Pro,-63
32,1,1,5745,36:62:f9:a1:88:63,CSE OFFICE,-87
