entryId,roomNo,60:63:4c:31:37:40_CSE-303,36:62:f9:a1:88:63_CSE OFFICE,00:22:b0:05:f3:bc_CSE-204,18:0f:76:c3:06:8d_CSE-304,36:20:f9:a1:88:62_CSE OFFICE,30:b5:c2:ea:5b:44_DataLab@BUET,36:20:f9:a1:88:56_CSE OFFICE,36:62:f9:a1:88:57_CSE OFFICE,bc:22:28:21:55:6e_CSE-104
1,203,-63.0,-87.0,-72.0,-70.0,-68.0,-64.0,-90.0,-91.89,-90.0
2,203,-70.0,-87.0,-68.0,-76.0,-69.0,-62.6,-68.0,-87.0,-90.0
3,203,-54.0,-81.1,-90.0,-66.0,-60.33,-90.0,-73.0,-90.0,-90.0
4,203,-55.0,-84.0,-61.0,-64.5,-66.6,-90.0,-68.0,-90.0,-90.0
5,203,-63.0,-85.5,-65.0,-90.0,-90.0,-60.5,-90.0,-90.0,-90.0
6,203,-71.3,-87.0,-70.0,-76.0,-73.0,-67.89,-76.0,-90.0,-90.0
7,203,-64.33,-91.33,-76.0,-90.0,-76.0,-61.67,-70.0,-90.0,-90.0
8,203,-61.0,-89.67,-62.9,-74.17,-69.0,-61.67,-63.0,-93.0,-90.0
9,203,-73.0,-90.0,-61.0,-90.0,-72.0,-59.0,-90.0,-91.0,-90.0
10,203,-64.0,-88.33,-63.64,-75.33,-90.0,-61.17,-59.33,-91.0,-84.0
11,203,-90.0,-83.0,-72.0,-69.27,-90.0,-90.0,-90.0,-90.0,-90.0
12,203,-62.0,-88.55,-70.0,-74.0,-65.0,-90.0,-69.0,-89.67,-90.0
13,203,-57.0,-86.67,-90.0,-90.0,-67.0,-90.0,-66.0,-90.0,-90.0
14,203,-71.0,-95.0,-90.0,-90.0,-90.0,-70.0,-82.0,-90.0,-90.0
15,203,-60.89,-89.2,-79.0,-72.5,-75.0,-67.33,-81.0,-90.0,-90.0
16,203,-60.0,-92.0,-67.0,-74.0,-67.0,-64.0,-73.0,-89.67,-82.0
17,203,-58.0,-89.5,-60.0,-70.0,-70.0,-67.0,-90.0,-92.0,-90.0
18,203,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0,-88.0,-90.0
19,203,-64.78,-92.0,-90.0,-90.0,-90.0,-68.0,-66.4,-92.0,-90.0
20,203,-71.0,-88.33,-58.0,-69.0,-67.75,-69.0,-90.0,-90.0,-90.0
21,203,-55.22,-90.6,-69.0,-69.0,-65.86,-90.0,-90.0,-90.0,-90.0
22,203,-55.0,-85.5,-90.0,-90.0,-90.0,-64.0,-90.0,-90.0,-76.0
23,203,-61.0,-87.82,-78.0,-65.0,-63.0,-71.0,-67.0,-90.0,-90.0
24,203,-90.0,-91.91,-90.0,-90.0,-61.0,-69.0,-90.0,-90.0,-84.0
25,203,-62.0,-90.0,-90.0,-90.0,-58.0,-64.0,-72.0,-90.0,-90.0
26,203,-51.0,-86.0,-72.0,-59.0,-58.89,-90.0,-90.0,-90.0,-90.0
27,203,-55.67,-78.0,-90.0,-90.0,-54.5,-90.0,-90.0,-90.0,-90.0
28,203,-66.0,-88.0,-90.0,-69.0,-64.0,-90.0,-90.0,-90.0,-90.0
29,203,-62.0,-84.0,-67.0,-69.0,-90.0,-68.0,-90.0,-91.0,-90.0
30,203,-76.91,-87.8,-90.0,-78.0,-68.33,-90.0,-90.0,-90.0,-90.0
31,203,-58.0,-89.5,-67.75,-71.0,-63.0,-61.67,-90.0,-94.78,-90.0
32,203,-61.6,-84.75,-69.5,-75.0,-63.4,-70.5,-90.0,-90.0,-90.0
33,203,-61.33,-89.0,-90.0,-70.0,-69.5,-65.0,-77.0,-90.0,-81.0
34,203,-64.0,-87.0,-65.0,-90.0,-90.0,-68.0,-90.0,-90.0,-93.0
35,203,-75.33,-90.0,-72.4,-67.0,-90.0,-71.0,-61.0,-88.0,-90.0
36,203,-56.11,-87.73,-75.0,-69.0,-65.5,-68.0,-90.0,-90.0,-74.0
37,203,-50.18,-80.0,-90.0,-90.0,-90.0,-67.0,-90.0,-90.0,-90.0
38,204,-70.0,-82.0,-66.0,-90.0,-70.5,-90.0,-74.0,-86.0,-64.56
39,204,-56.75,-87.45,-61.5,-54.0,-66.0,-70.0,-59.44,-86.45,-74.22
40,204,-60.73,-82.09,-66.88,-53.33,-66.25,-90.0,-67.4,-85.27,-68.27
41,204,-55.0,-90.0,-57.91,-49.73,-90.0,-90.0,-53.67,-76.33,-58.0
42,204,-60.18,-85.0,-76.22,-52.11,-69.25,-78.67,-62.9,-78.9,-78.0
43,204,-64.75,-93.0,-55.5,-63.0,-75.0,-70.0,-58.0,-80.45,-90.0
44,204,-63.0,-90.0,-56.0,-53.0,-90.0,-71.0,-90.0,-88.0,-90.0
45,204,-57.8,-86.67,-63.2,-49.91,-63.43,-73.0,-56.18,-82.91,-70.5
46,204,-76.0,-90.0,-62.33,-61.67,-90.0,-71.5,-53.64,-75.8,-90.0
47,204,-60.33,-87.0,-64.0,-53.0,-90.0,-90.0,-65.0,-83.0,-66.33
48,204,-73.73,-91.33,-62.5,-55.0,-75.0,-80.67,-48.64,-69.09,-74.67
49,204,-57.0,-90.0,-67.0,-56.33,-90.0,-90.0,-62.25,-87.17,-68.0
50,204,-66.56,-96.67,-90.0,-90.0,-74.0,-65.0,-63.55,-80.33,-73.25
51,204,-54.0,-85.33,-53.6,-44.0,-63.0,-90.0,-64.67,-83.56,-90.0
52,204,-90.0,-90.0,-60.0,-90.0,-90.0,-90.0,-63.0,-83.0,-90.0
53,204,-62.0,-84.0,-90.0,-90.0,-68.0,-90.0,-68.0,-85.0,-70.0
54,204,-65.0,-90.0,-51.45,-57.0,-72.0,-90.0,-52.55,-73.64,-80.0
55,204,-56.67,-84.55,-55.75,-45.18,-53.0,-90.0,-56.0,-80.91,-64.67
56,204,-64.5,-82.0,-57.11,-49.88,-72.0,-65.0,-56.44,-82.0,-66.5
57,204,-59.64,-90.0,-66.45,-56.17,-64.11,-68.0,-65.0,-90.0,-73.88
58,204,-56.0,-92.0,-51.3,-57.67,-73.0,-90.0,-51.11,-73.64,-74.67
59,204,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0,-88.0,-90.0
60,204,-64.78,-92.0,-90.0,-90.0,-90.0,-68.0,-66.4,-92.0,-90.0
61,204,-71.0,-88.33,-58.0,-69.0,-67.75,-69.0,-90.0,-90.0,-90.0
62,204,-55.22,-90.6,-69.0,-69.0,-65.86,-90.0,-90.0,-90.0,-90.0
63,204,-55.0,-85.5,-90.0,-90.0,-90.0,-64.0,-90.0,-90.0,-76.0
64,204,-61.0,-87.82,-78.0,-65.0,-63.0,-71.0,-67.0,-90.0,-90.0
65,204,-90.0,-91.91,-90.0,-90.0,-61.0,-69.0,-90.0,-90.0,-84.0
66,204,-62.0,-90.0,-90.0,-90.0,-58.0,-64.0,-72.0,-90.0,-90.0
67,204,-51.0,-86.0,-72.0,-59.0,-58.89,-90.0,-90.0,-90.0,-90.0
68,204,-55.67,-78.0,-90.0,-90.0,-54.5,-90.0,-90.0,-90.0,-90.0
69,204,-66.0,-88.0,-90.0,-69.0,-64.0,-90.0,-90.0,-90.0,-90.0
70,204,-62.0,-84.0,-67.0,-69.0,-90.0,-68.0,-90.0,-91.0,-90.0
71,204,-76.91,-87.8,-90.0,-78.0,-68.33,-90.0,-90.0,-90.0,-90.0
72,204,-58.0,-89.5,-67.75,-71.0,-63.0,-61.67,-90.0,-94.78,-90.0
73,204,-61.6,-84.75,-69.5,-75.0,-63.4,-70.5,-90.0,-90.0,-90.0
74,204,-61.33,-89.0,-90.0,-70.0,-69.5,-65.0,-77.0,-90.0,-81.0
75,204,-64.0,-87.0,-65.0,-90.0,-90.0,-68.0,-90.0,-90.0,-93.0
76,204,-75.33,-90.0,-72.4,-67.0,-90.0,-71.0,-61.0,-88.0,-90.0
77,204,-71.0,-95.5,-54.73,-63.5,-90.0,-74.0,-49.09,-74.0,-70.0
78,Outside_203,-72.2,-90.0,-63.8,-74.0,-70.0,-56.4,-68.17,-84.0,-90.0
79,Outside_203,-66.5,-90.0,-64.0,-74.0,-90.0,-52.0,-90.0,-90.0,-90.0
80,Outside_203,-77.57,-90.0,-79.25,-73.0,-60.4,-80.0,-83.0,-90.0,-81.71
81,Outside_203,-70.17,-90.0,-73.58,-69.83,-53.5,-73.17,-82.0,-90.0,-79.11
82,Outside_203,-65.83,-90.0,-68.42,-68.33,-59.82,-78.8,-82.67,-90.0,-82.33
83,Outside_204,-68.5,-76.0,-66.0,-61.33,-56.0,-81.5,-68.0,-90.0,-75.25
84,Outside_204,-69.11,-90.0,-73.58,-58.25,-65.78,-80.6,-66.08,-90.0,-69.89
85,Outside_204,-63.09,-90.0,-67.58,-59.08,-49.3,-88.0,-70.0,-90.0,-80.11
86,Outside_204,-73.2,-90.0,-70.08,-65.0,-67.3,-81.33,-73.78,-90.0,-78.83
87,Outside_Both,-50.0,-86.0,-62.0,-90.0,-90.0,-90.0,-69.0,-90.0,-62.0
88,Outside_Both,-50.75,-83.25,-54.3,-61.7,-90.0,-55.83,-56.33,-79.44,-71.0
89,Outside_Both,-57.86,-90.0,-57.09,-66.91,-90.0,-55.56,-62.75,-83.0,-68.5
90,Outside_Both,-57.0,-73.17,-66.73,-57.27,-53.33,-68.25,-90.0,-90.0,-62.33
91,Outside_Both,-51.33,-78.56,-61.73,-55.09,-59.0,-65.5,-58.75,-82.0,-61.33
92,Outside_Both,-57.33,-90.0,-66.33,-53.11,-57.92,-71.67,-70.8,-90.0,-67.3
93,Outside_Both,-60.0,-90.0,-63.08,-61.44,-65.5,-62.25,-69.56,-90.0,-70.88
94,Outside_Both,-61.2,-84.5,-57.73,-90.0,-71.0,-56.57,-67.17,-84.25,-76.33
95,Outside_Both,-58.5,-75.8,-66.36,-54.56,-53.64,-59.22,-60.82,-85.33,-55.25
96,Outside_Both,-53.33,-83.0,-63.17,-55.18,-60.5,-56.67,-59.22,-83.67,-62.67
97,Outside_Both,-54.11,-85.0,-53.17,-64.67,-68.5,-61.36,-54.0,-76.92,-67.17
98,Outside_Both,-61.0,-87.0,-58.5,-64.0,-63.67,-55.7,-61.12,-79.08,-74.0
99,Outside_Both,-51.83,-78.22,-67.78,-57.0,-59.4,-63.83,-67.2,-85.0,-50.64
100,Outside_Both,-57.89,-74.0,-63.83,-59.25,-57.83,-58.33,-60.67,-79.75,-69.44
101,Outside_Both,-54.14,-82.67,-56.0,-62.5,-60.33,-58.12,-56.11,-79.0,-76.6
102,Outside_Both,-64.14,-90.0,-57.42,-60.0,-69.0,-57.29,-60.62,-79.17,-78.83
