entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
1,20,00:22:b0:05:f3:bc,CSE-204,16,-61.88,2.5,-61.88,16,2.5
1,20,bc:22:28:21:55:6e,CSE-104,7,-69.57,1.99,-68.83,6,0.9
1,20,60:63:4c:31:37:40,CSE-303,13,-51.92,2.97,-51.33,12,2.25
1,20,36:62:f9:a1:88:57,CSE OFFICE,18,-80.56,3.96,-80.56,18,3.96
1,20,18:0f:76:c3:06:8d,CSE-304,16,-48.62,3.53,-48.62,16,3.53
1,20,36:62:f9:a1:88:63,CSE OFFICE,17,-86.24,1.48,-86.24,17,1.48
1,20,36:20:f9:a1:88:56,CSE OFFICE,7,-59.86,3.23,-59.86,7,3.23
1,20,30:b5:c2:ea:5b:44,DataLab@BUET,4,-71.0,1.73,-71.0,4,1.73
2,1,30:b5:c2:ea:5b:44,DataLab@BUET,1,-61.0,0.0,-61.0,1,0.0
3,1,60:63:4c:31:37:40,CSE-303,1,-58.0,0.0,-58.0,1,0.0
4,2,30:b5:c2:ea:5b:44,DataLab@BUET,2,-71.0,0.0,-71.0,2,0.0
4,2,36:62:f9:a1:88:63,CSE OFFICE,1,-82.0,0.0,-82.0,1,0.0
4,2,00:22:b0:05:f3:bc,CSE-204,1,-58.0,0.0,-58.0,1,0.0
4,2,18:0f:76:c3:06:8d,CSE-304,1,-58.0,0.0,-58.0,1,0.0
5,20,36:20:f9:a1:88:62,CSE OFFICE,19,-55.05,0.22,-55.0,18,0.0
5,20,36:62:f9:a1:88:63,CSE OFFICE,20,-85.75,2.19,-86.0,18,0.0
5,20,36:20:f9:a1:88:56,CSE OFFICE,2,-76.0,5.0,-76.0,2,5.0
5,20,bc:22:28:21:55:6e,CSE-104,2,-74.5,1.5,-74.5,2,1.5
5,20,18:0f:76:c3:06:8d,CSE-304,20,-55.4,1.2,-55.0,18,0.0
5,20,30:b5:c2:ea:5b:44,DataLab@BUET,18,-74.0,0.0,-74.0,18,0.0
5,20,60:63:4c:31:37:40,CSE-303,1,-66.0,0.0,-66.0,1,0.0
5,20,00:22:b0:05:f3:bc,CSE-204,1,-62.0,0.0,-62.0,1,0.0
6,5,60:63:4c:31:37:40,CSE-303,3,-62.67,0.94,-62.67,3,0.94
6,5,30:b5:c2:ea:5b:44,DataLab@BUET,3,-59.33,6.85,-59.33,3,6.85
6,5,36:20:f9:a1:88:62,CSE OFFICE,2,-63.0,4.0,-63.0,2,4.0
6,5,36:20:f9:a1:88:56,CSE OFFICE,2,-69.5,2.5,-69.5,2,2.5
6,5,00:22:b0:05:f3:bc,CSE-204,2,-64.0,5.0,-64.0,2,5.0
6,5,36:62:f9:a1:88:63,CSE OFFICE,1,-83.0,0.0,-83.0,1,0.0
7,20,36:20:f9:a1:88:62,CSE OFFICE,1,-68.0,0.0,-68.0,1,0.0
7,20,36:62:f9:a1:88:63,CSE OFFICE,9,-95.78,0.92,-95.78,9,0.92
7,20,36:62:f9:a1:88:57,CSE OFFICE,15,-89.0,3.29,-87.92,13,1.94
7,20,36:20:f9:a1:88:56,CSE OFFICE,3,-64.33,2.36,-64.33,3,2.36
7,20,00:22:b0:05:f3:bc,CSE-204,17,-61.12,6.57,-61.12,17,6.57
7,20,18:0f:76:c3:06:8d,CSE-304,5,-56.2,0.4,-56.0,4,0.0
7,20,30:b5:c2:ea:5b:44,DataLab@BUET,2,-78.0,0.0,-78.0,2,0.0
7,20,bc:22:28:21:55:6e,CSE-104,2,-74.0,0.0,-74.0,2,0.0
7,20,60:63:4c:31:37:40,CSE-303,3,-66.33,2.36,-66.33,3,2.36
8,11,30:b5:c2:ea:5b:44,DataLab@BUET,11,-67.09,5.02,-67.09,11,5.02
8,11,36:62:f9:a1:88:63,CSE OFFICE,5,-83.4,2.94,-83.4,5,2.94
8,11,36:62:f9:a1:88:57,CSE OFFICE,11,-79.82,3.64,-79.82,11,3.64
8,11,36:20:f9:a1:88:56,CSE OFFICE,11,-54.64,1.97,-54.64,11,1.97
8,11,18:0f:76:c3:06:8d,CSE-304,7,-49.14,2.95,-49.14,7,2.95
8,11,60:63:4c:31:37:40,CSE-303,7,-60.14,5.38,-60.14,7,5.38
8,11,00:22:b0:05:f3:bc,CSE-204,5,-54.0,0.0,-54.0,5,0.0
8,11,36:20:f9:a1:88:62,CSE OFFICE,3,-59.0,0.0,-59.0,3,0.0
9,20,30:b5:c2:ea:5b:44,DataLab@BUET,5,-69.2,1.94,-69.2,5,1.94
9,20,36:20:f9:a1:88:62,CSE OFFICE,7,-65.29,2.55,-65.29,7,2.55
9,20,60:63:4c:31:37:40,CSE-303,11,-54.55,4.68,-54.55,11,4.68
9,20,00:22:b0:05:f3:bc,CSE-204,7,-74.0,0.53,-74.0,5,0.0
9,20,18:0f:76:c3:06:8d,CSE-304,8,-65.5,1.73,-65.0,6,0.0
9,20,36:62:f9:a1:88:63,CSE OFFICE,8,-86.75,1.09,-87.0,6,0.0
10,20,36:62:f9:a1:88:63,CSE OFFICE,20,-85.15,2.24,-84.84,19,1.84
10,20,36:20:f9:a1:88:62,CSE OFFICE,20,-67.8,4.32,-67.8,20,4.32
10,20,00:22:b0:05:f3:bc,CSE-204,20,-67.45,3.65,-67.45,20,3.65
10,20,60:63:4c:31:37:40,CSE-303,20,-65.9,3.52,-65.9,20,3.52
10,20,30:b5:c2:ea:5b:44,DataLab@BUET,19,-67.32,4.86,-67.32,19,4.86
10,20,18:0f:76:c3:06:8d,CSE-304,14,-68.71,3.15,-68.71,14,3.15
10,20,36:20:f9:a1:88:56,CSE OFFICE,9,-73.56,2.99,-73.56,9,2.99
10,20,bc:22:28:21:55:6e,CSE-104,1,-79.0,0.0,-79.0,1,0.0
11,20,60:63:4c:31:37:40,CSE-303,13,-51.08,0.27,-51.0,12,0.0
11,20,30:b5:c2:ea:5b:44,DataLab@BUET,8,-73.88,0.78,-74.0,6,0.0
11,20,bc:22:28:21:55:6e,CSE-104,6,-80.0,0.0,-80.0,6,0.0
12,20,60:63:4c:31:37:40,CSE-303,3,-71.0,2.94,-71.0,3,2.94
12,20,18:0f:76:c3:06:8d,CSE-304,2,-74.5,3.5,-74.5,2,3.5
12,20,36:20:f9:a1:88:62,CSE OFFICE,6,-69.5,2.99,-69.5,6,2.99
12,20,36:62:f9:a1:88:63,CSE OFFICE,6,-91.0,1.53,-91.0,6,1.53
12,20,30:b5:c2:ea:5b:44,DataLab@BUET,8,-72.62,4.47,-72.62,8,4.47
12,20,00:22:b0:05:f3:bc,CSE-204,10,-69.8,2.32,-69.8,10,2.32
