entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
1,20,00:22:b0:05:f3:bc,CSE-204,16,-61.88,2.5,-61.88,16,2.5
1,20,bc:22:28:21:55:6e,CSE-104,7,-69.57,1.99,-68.83,6,0.9
1,20,60:63:4c:31:37:40,CSE-303,13,-51.92,2.97,-51.33,12,2.25
1,20,36:62:f9:a1:88:57,CSE OFFICE,18,-80.56,3.96,-80.56,18,3.96
1,20,18:0f:76:c3:06:8d,CSE-304,16,-48.62,3.53,-48.62,16,3.53
1,20,bc:22:28:21:09:21,CSE-205,20,-73.45,3.44,-72.61,18,2.38
1,20,36:62:f9:a1:88:63,CSE OFFICE,17,-86.24,1.48,-86.24,17,1.48
1,20,26:94:5a:1b:90:4d,Tatakae🥷,15,-66.53,5.0,-68.92,12,1.71
1,20,d2:21:d7:af:f0:ae,Fihad's Galaxy,18,-64.94,2.84,-64.94,18,2.84
1,20,34:60:f9:a1:88:57,,6,-80.5,1.89,-80.5,6,1.89
1,20,bc:22:28:21:55:6b,CSE-104,16,-74.94,2.14,-74.94,16,2.14
1,20,a6:59:c9:64:d6:36,Pixel_5325,9,-65.67,2.98,-65.67,9,2.98
1,20,bc:22:28:21:09:b8,,10,-84.9,2.3,-84.9,10,2.3
1,20,52:29:6f:70:e8:02,Shakshor,18,-82.39,2.45,-82.39,18,2.45
1,20,60:63:4c:31:37:60,CSE-306,2,-86.0,1.0,-86.0,2,1.0
1,20,36:20:f9:a1:88:56,CSE OFFICE,7,-59.86,3.23,-59.86,7,3.23
1,20,34:60:f9:a1:88:63,,4,-86.5,1.8,-86.5,4,1.8
1,20,5c:e9:31:22:be:d6,,3,-73.0,0.82,-73.0,3,0.82
1,20,36:56:20:d4:75:60,Rayyan's Galaxy A24,1,-80.0,0.0,-80.0,1,0.0
1,20,bc:22:28:21:09:22,,7,-75.86,3.83,-75.8,5,0.98
1,20,5e:a9:31:22:be:d6,CSE-LAB,1,-74.0,0.0,-74.0,1,0.0
1,20,34:e8:94:10:7d:fa,Hall of Fame,1,-84.0,0.0,-84.0,1,0.0
1,20,70:4c:a5:95:b6:00,BUET-Free-WiFi,1,-85.0,0.0,-85.0,1,0.0
1,20,bc:22:28:21:09:b7,,3,-84.33,1.89,-84.33,3,1.89
1,20,80:af:ca:11:95:ea,Graduate Lobby,1,-86.0,0.0,-86.0,1,0.0
1,20,30:b5:c2:ea:5b:44,DataLab@BUET,4,-71.0,1.73,-71.0,4,1.73
1,20,bc:22:28:21:55:6c,,7,-73.29,0.7,-73.0,6,0.0
1,20,70:4c:a5:95:b6:01,eduroam,3,-80.0,0.0,-80.0,3,0.0
1,20,26:2f:d0:88:39:a2,IAC,1,-62.0,0.0,-62.0,1,0.0
1,20,5c:e9:31:22:bb:0b,,4,-89.25,0.43,-89.25,4,0.43
1,20,24:2f:d0:88:39:a2,,1,-55.0,0.0,-55.0,1,0.0
1,20,34:60:f9:a1:88:56,,4,-60.25,3.77,-60.25,4,3.77
1,20,5c:e9:31:22:bb:0a,,1,-66.0,0.0,-66.0,1,0.0
1,20,bc:22:28:21:09:ba,CSE-206,1,-70.0,0.0,-70.0,1,0.0
1,20,56:24:f1:d4:40:ff,Redmi Note 10,1,-67.0,0.0,-67.0,1,0.0
1,20,5e:ea:31:22:bb:0b,CSE-LAB,3,-89.0,0.0,-89.0,3,0.0
2,1,26:94:5a:1b:90:4d,Tatakae🥷,1,-58.0,0.0,-58.0,1,0.0
2,1,56:24:f1:d4:40:ff,Redmi Note 10,1,-71.0,0.0,-71.0,1,0.0
2,1,34:60:f9:a1:88:57,,1,-68.0,0.0,-68.0,1,0.0
2,1,70:4c:a5:95:a4:21,eduroam,1,-91.0,0.0,-91.0,1,0.0
2,1,34:60:f9:a1:88:56,,1,-52.0,0.0,-52.0,1,0.0
2,1,30:b5:c2:ea:5b:44,DataLab@BUET,1,-61.0,0.0,-61.0,1,0.0
2,1,a6:59:c9:64:d6:36,Pixel_5325,1,-61.0,0.0,-61.0,1,0.0
2,1,bc:22:28:21:09:b7,,1,-84.0,0.0,-84.0,1,0.0
2,1,d2:21:d7:af:f0:ae,Fihad's Galaxy,1,-52.0,0.0,-52.0,1,0.0
3,1,26:94:5a:1b:90:4d,Tatakae🥷,1,-75.0,0.0,-75.0,1,0.0
3,1,60:63:4c:31:37:40,CSE-303,1,-58.0,0.0,-58.0,1,0.0
3,1,34:60:f9:a1:88:57,,1,-82.0,0.0,-82.0,1,0.0
4,2,1e:61:b4:ac:79:f3,CSE-306BL,2,-91.0,0.0,-91.0,2,0.0
4,2,34:60:f9:a1:8b:8f,,2,-89.0,0.0,-89.0,2,0.0
4,2,34:60:f9:a1:88:63,,2,-82.0,0.0,-82.0,2,0.0
4,2,30:b5:c2:ea:5b:44,DataLab@BUET,2,-71.0,0.0,-71.0,2,0.0
4,2,36:62:f9:a1:8b:8f,CSE OFFICE,1,-89.0,0.0,-89.0,1,0.0
4,2,bc:22:28:21:55:6b,CSE-104,1,-83.0,0.0,-83.0,1,0.0
4,2,52:29:6f:70:e8:02,Shakshor,1,-70.0,0.0,-70.0,1,0.0
4,2,60:63:4c:31:37:60,CSE-306,1,-59.0,0.0,-59.0,1,0.0
4,2,36:62:f9:a1:88:63,CSE OFFICE,1,-82.0,0.0,-82.0,1,0.0
4,2,bc:22:28:21:09:21,CSE-205,1,-54.0,0.0,-54.0,1,0.0
4,2,00:22:b0:05:f3:bc,CSE-204,1,-58.0,0.0,-58.0,1,0.0
4,2,18:0f:76:c3:06:8d,CSE-304,1,-58.0,0.0,-58.0,1,0.0
5,20,26:94:5a:1b:90:4d,Tatakae🥷,1,-57.0,0.0,-57.0,1,0.0
5,20,46:b7:e8:94:1b:31,Galaxy A54 5G DACD,1,-67.0,0.0,-67.0,1,0.0
5,20,34:60:f9:a1:88:56,,2,-75.5,5.5,-75.5,2,5.5
5,20,34:60:f9:a1:88:63,,20,-85.95,2.69,-86.0,18,0.0
5,20,bc:22:28:21:09:b8,,20,-74.6,1.36,-75.0,18,0.0
5,20,bc:22:28:21:09:b7,,20,-75.45,1.99,-76.0,18,0.0
5,20,52:29:6f:70:e8:02,Shakshor,20,-60.75,2.38,-60.0,18,0.0
5,20,36:20:f9:a1:88:62,CSE OFFICE,19,-55.05,0.22,-55.0,18,0.0
5,20,36:62:f9:a1:88:63,CSE OFFICE,20,-85.75,2.19,-86.0,18,0.0
5,20,bc:22:28:21:09:24,CSE-205,19,-59.47,2.01,-59.0,18,0.0
5,20,bc:22:28:21:09:22,,19,-61.74,3.13,-61.0,18,0.0
