macAddress,ssid,total_count
60:63:4c:31:37:40,CSE-303,51
30:b5:c2:ea:5b:44,DataLab@BUET,51
26:94:5a:1b:90:4d,Tatakae🥷,49
18:0f:76:c3:06:8d,CSE-304,48
00:22:b0:05:f3:bc,CSE-204,47
bc:22:28:21:09:21,CSE-205,46
36:20:f9:a1:88:62,CSE OFFICE,45
d2:21:d7:af:f0:ae,Fihad's Galaxy,44
36:20:f9:a1:88:56,CSE OFFICE,44
bc:22:28:21:09:24,CSE-205,43
34:60:f9:a1:88:56,,42
bc:22:28:21:09:22,,41
34:60:f9:a1:88:63,,40
36:62:f9:a1:88:63,CSE OFFICE,40
34:60:f9:a1:88:62,,38
bc:22:28:21:55:6b,CSE-104,37
bc:22:28:21:09:b7,,35
34:e8:94:10:7d:fa,Hall of Fame,34
36:20:f9:a1:8b:8e,CSE OFFICE,33
56:24:f1:d4:40:ff,Redmi Note 10,33
52:29:6f:70:e8:02,Shakshor,33
bc:22:28:21:09:b8,,32
5e:a9:31:22:be:d6,CSE-LAB,30
5e:a9:31:22:bb:0a,CSE-LAB,30
bc:22:28:21:55:6e,CSE-104,30
bc:22:28:21:55:6c,,29
34:60:f9:a1:8b:8e,,28
5c:e8:d3:0a:1e:e0,!FreeNet,28
bc:22:28:21:09:ba,CSE-206,28
46:44:d1:b3:33:78,Galaxy M12 396F,27
5c:e9:31:22:be:d6,,26
5c:e9:31:22:bb:0a,,26
8e:fa:5f:79:06:05,Ei j eta amar wifi,26
8e:94:9f:cb:b9:b0,Fuad's A54,25
26:2f:d0:88:39:a2,IAC,24
36:62:f9:a1:88:57,CSE OFFICE,24
8e:f6:fd:8d:6d:a4,POCO X3 Pro,24
56:f1:5f:2e:f3:7a,Horion_yj,24
66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,23
60:63:4c:31:37:60,CSE-306,23
34:60:f9:a1:88:57,,21
24:2f:d0:88:39:a2,,20
bc:62:ce:6a:3a:2a,RBH 204,17
10:62:eb:77:b7:42,CSE-G04,17
00:1e:2a:ba:c8:20,CSE-401,17
d6:2c:9e:ee:4a:20,Jo,16
96:33:56:57:7a:84,iPhone (3),15
70:4c:a5:95:b6:00,BUET-Free-WiFi,13
60:63:4c:31:37:48,dlink,13
36:56:20:d4:75:60,Rayyan's Galaxy A24,13
70:4c:a5:95:b6:01,eduroam,10
a6:59:c9:64:d6:36,Pixel_5325,10
cc:2d:21:36:d7:90,Savage-us,9
5e:ea:31:22:bb:0b,CSE-LAB,9
2c:fe:e2:59:d0:c2,Horion_e9,9
34:0a:33:6a:24:5e,ROOM-713,8
1e:61:b4:ac:7a:1a,CSE-306BL,8
80:af:ca:11:95:ea,Graduate Lobby,8
1c:61:b4:9c:79:f2,,8
9a:a0:3f:22:6e:8f,Jibonjuddhe Here Jacchi,8
b0:19:21:f7:f8:83,Room no. 614,7
5c:e9:31:22:bb:0b,,7
56:f1:5f:2e:db:20,Horion_j6,7
02:83:7e:72:2b:0b,realme C12i,7
1e:61:b4:ac:79:f2,CSE-306BL,6
46:b7:e8:94:1b:31,Galaxy A54 5G DACD,6
70:4c:a5:95:b2:d0,BUET-Free-WiFi,6
1e:61:b4:ac:79:f3,CSE-306BL,6
bc:22:28:20:b9:f6,CSE-503,6
00:22:b0:05:f3:51,CSE-108,5
60:a4:b7:20:74:5c,Room-1114,4
70:4c:a5:95:b2:d1,eduroam,4
