entryId,roomNo,60:63:4c:31:37:40_CSE-303,30:b5:c2:ea:5b:44_DataLab@BUET,18:0f:76:c3:06:8d_CSE-304,00:22:b0:05:f3:bc_CSE-204,bc:22:28:21:09:21_CSE-205,36:20:f9:a1:88:62_CSE OFFICE,36:20:f9:a1:88:56_CSE OFFICE,bc:22:28:21:09:24_CSE-205,36:62:f9:a1:88:63_CSE OFFICE,bc:22:28:21:55:6b_CSE-104,34:e8:94:10:7d:fa_Hall of Fame,36:20:f9:a1:8b:8e_CSE OFFICE,36:20:f9:a1:8b:8e_CSE OFFICE,5e:a9:31:22:bb:0a_CSE-LAB,bc:22:28:21:55:6e_CSE-104,bc:22:28:21:09:ba_CSE-206,26:2f:d0:88:39:a2_IAC,36:62:f9:a1:88:57_CSE OFFICE,60:63:4c:31:37:60_CSE-306,10:62:eb:77:b7:42_CSE-G04,00:1e:2a:ba:c8:20_CSE-401,70:4c:a5:95:b6:00_BUET-Free-WiFi,60:63:4c:31:37:48_dlink
1,203,-51.33,-71.0,-48.62,-61.88,-72.61,-90.0,-59.86,-90.0,-86.24,-74.94,-84.0,-90.0,-90.0,-90.0,-68.83,-70.0,-62.0,-80.56,-86.0,-90.0,-90.0,-85.0,-90.0
2,204,-90.0,-61.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
3,204,-58.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
4,204,-90.0,-71.0,-58.0,-58.0,-54.0,-90.0,-90.0,-90.0,-82.0,-83.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-59.0,-90.0,-90.0,-90.0,-90.0
5,204,-66.0,-74.0,-55.0,-62.0,-61.0,-55.0,-76.0,-59.0,-86.0,-89.0,-90.0,-90.0,-90.0,-90.0,-74.5,-90.0,-90.0,-90.0,-69.0,-90.0,-90.0,-90.0,-90.0
6,CSE 204,-62.67,-59.33,-90.0,-64.0,-58.2,-63.0,-69.5,-53.0,-83.0,-87.0,-67.0,-90.0,-90.0,-67.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
7,CSE 204,-66.33,-78.0,-56.0,-61.12,-78.0,-68.0,-64.33,-68.0,-95.78,-87.83,-90.0,-90.0,-90.0,-71.0,-74.0,-80.0,-90.0,-87.92,-90.0,-90.0,-90.0,-90.0,-87.72
8,CSE 205,-60.14,-67.09,-49.14,-54.0,-72.18,-59.0,-54.64,-90.0,-83.4,-77.0,-65.0,-90.0,-90.0,-67.67,-90.0,-74.0,-56.0,-79.82,-90.0,-90.0,-90.0,-90.0,-82.91
9,CSE203,-54.55,-69.2,-65.0,-74.0,-60.17,-65.29,-90.0,-52.71,-87.0,-91.5,-90.0,-71.0,-71.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-70.0,-90.0,-90.0,-90.0
10,CSE203,-65.9,-67.32,-68.71,-67.45,-59.26,-67.8,-73.56,-57.05,-84.84,-85.15,-79.0,-79.0,-79.0,-80.0,-79.0,-85.86,-90.0,-90.0,-90.0,-80.0,-79.0,-90.0,-83.2
11,CSE203,-51.0,-74.0,-90.0,-90.0,-67.2,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-80.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-79.25
12,CSE203,-71.0,-72.62,-74.5,-69.8,-63.05,-69.5,-82.0,-60.08,-91.0,-95.0,-90.0,-81.33,-81.33,-83.0,-90.0,-90.0,-90.0,-90.0,-90.0,-72.67,-90.0,-90.0,-90.0
13,CSE203,-80.33,-74.0,-78.0,-90.0,-73.5,-76.5,-87.0,-69.45,-95.88,-90.0,-90.0,-81.0,-81.0,-90.0,-90.0,-94.0,-90.0,-90.0,-94.0,-78.75,-85.5,-90.0,-94.8
14,CSE203,-64.12,-66.0,-69.5,-64.0,-57.75,-66.0,-73.0,-68.86,-91.0,-91.0,-71.0,-83.0,-83.0,-75.0,-90.0,-90.0,-90.0,-88.0,-90.0,-90.0,-90.0,-90.0,-90.0
15,CSE203,-60.46,-69.78,-62.8,-74.0,-57.89,-67.0,-77.8,-56.05,-84.07,-88.0,-90.0,-74.0,-74.0,-76.0,-90.0,-90.0,-90.0,-90.0,-90.0,-68.0,-90.0,-90.0,-90.0
16,CSE203,-55.67,-66.17,-60.56,-65.6,-54.32,-61.33,-76.67,-50.62,-80.88,-80.2,-80.33,-75.0,-75.0,-90.0,-73.13,-72.0,-90.0,-90.0,-81.8,-59.67,-83.8,-87.25,-81.21
17,CSE203,-70.64,-71.33,-76.0,-68.78,-56.4,-67.8,-90.0,-61.0,-91.0,-95.0,-90.0,-77.0,-77.0,-90.0,-90.0,-81.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-87.6
18,CSE203,-61.56,-73.6,-68.86,-69.56,-64.4,-69.15,-74.67,-64.4,-90.0,-90.0,-90.0,-78.44,-78.44,-90.0,-90.0,-85.0,-90.0,-90.0,-86.0,-76.0,-86.0,-90.0,-90.0
19,CSE203,-63.0,-78.0,-90.0,-90.0,-65.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-83.0
20,CSE203,-59.0,-67.38,-64.6,-75.54,-63.29,-63.11,-90.0,-57.44,-83.3,-90.0,-77.0,-82.0,-82.0,-90.0,-90.0,-90.0,-90.0,-90.0,-85.0,-90.0,-90.0,-90.0,-90.0
21,CSE203,-79.0,-72.0,-74.0,-70.1,-66.82,-74.0,-74.0,-68.82,-90.0,-90.0,-90.0,-81.0,-81.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-70.0,-90.0,-90.0,-90.0
22,CSE203,-59.5,-64.12,-60.0,-66.22,-61.84,-67.43,-90.0,-54.89,-83.74,-90.0,-74.0,-73.0,-73.0,-90.0,-90.0,-90.0,-76.0,-90.0,-86.0,-90.0,-90.0,-90.0,-90.0
23,CSE203,-51.88,-73.0,-67.0,-70.75,-57.5,-60.8,-90.0,-53.15,-86.78,-85.83,-90.0,-75.0,-75.0,-90.0,-77.0,-73.0,-90.0,-90.0,-84.5,-64.0,-90.0,-90.0,-90.0
24,CSE203,-65.92,-68.53,-74.0,-64.67,-50.83,-69.08,-75.78,-63.3,-89.8,-91.23,-79.29,-85.0,-85.0,-90.0,-80.72,-90.0,-90.0,-90.0,-88.18,-75.0,-85.53,-90.0,-90.0
25,CSE203,-90.0,-72.67,-77.0,-90.0,-57.06,-67.67,-79.0,-63.17,-90.0,-90.0,-90.0,-81.5,-81.5,-90.0,-84.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-88.22
26,CSE203,-64.85,-60.85,-70.67,-67.75,-49.8,-67.0,-76.0,-53.0,-81.0,-86.0,-80.0,-72.5,-72.5,-72.5,-90.0,-90.0,-75.0,-92.0,-86.0,-69.5,-78.0,-90.0,-90.0
27,CSE203,-54.83,-65.73,-59.0,-62.23,-90.0,-65.92,-66.4,-63.06,-90.0,-90.0,-76.4,-81.0,-81.0,-69.33,-68.8,-76.0,-68.75,-90.0,-78.67,-90.0,-81.0,-90.0,-90.0
28,CSE203,-53.0,-72.27,-68.5,-68.67,-90.0,-64.38,-76.5,-56.0,-90.0,-90.0,-78.0,-73.5,-73.5,-81.0,-75.0,-88.0,-73.0,-90.0,-81.0,-66.6,-84.2,-90.0,-90.0
29,CSE203,-65.14,-73.69,-67.0,-80.0,-50.7,-66.79,-77.0,-55.63,-86.21,-82.33,-86.0,-77.5,-77.5,-90.0,-90.0,-90.0,-90.0,-90.0,-55.0,-90.0,-88.0,-90.0,-87.45
30,CSE203,-55.0,-75.5,-47.35,-61.65,-77.1,-60.18,-59.4,-90.0,-87.55,-76.25,-71.15,-90.0,-90.0,-62.0,-69.64,-83.0,-65.6,-78.0,-90.0,-90.0,-90.0,-80.29,-90.0
31,CSE203,-69.12,-72.67,-71.0,-72.5,-62.38,-63.67,-79.0,-55.45,-83.92,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0,-79.0,-90.0,-90.0,-90.0,-85.0,-90.0,-90.0
32,CSE204,-52.12,-74.0,-51.0,-54.12,-74.0,-61.0,-48.0,-74.0,-84.44,-78.75,-68.5,-81.0,-81.0,-57.67,-90.0,-90.0,-60.0,-70.24,-90.0,-90.0,-90.0,-89.0,-90.0
