scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
1,1,0,2412,00:22:b0:05:f3:bc,CSE-204,-65
2,1,0,2462,bc:22:28:21:55:6e,CSE-104,-70
3,1,0,2432,60:63:4c:31:37:40,CSE-303,-55
4,1,0,5805,36:62:f9:a1:88:57,CSE OFFICE,-78
5,1,0,2412,18:0f:76:c3:06:8d,CSE-304,-49
6,1,0,5785,bc:22:28:21:09:21,CSE-205,-79
7,1,0,5805,36:62:f9:a1:88:63,CSE OFFICE,-88
8,1,0,2462,26:94:5a:1b:90:4d,Tatakae🥷,-70
9,1,0,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-63
10,1,0,5805,34:60:f9:a1:88:57,,-77
11,1,0,5765,bc:22:28:21:55:6b,CSE-104,-73
12,1,1,2412,a6:59:c9:64:d6:36,Pixel_5325,-68
13,1,1,5785,bc:22:28:21:09:b8,,-88
14,1,1,5745,52:29:6f:70:e8:02,Shakshor,-83
15,1,1,2462,bc:22:28:21:55:6e,CSE-104,-74
16,1,1,2462,60:63:4c:31:37:60,CSE-306,-85
17,1,1,5805,36:62:f9:a1:88:57,CSE OFFICE,-77
18,1,1,2412,18:0f:76:c3:06:8d,CSE-304,-53
19,1,1,5785,bc:22:28:21:09:21,CSE-205,-77
20,1,1,2457,36:20:f9:a1:88:56,CSE OFFICE,-66
21,1,1,5805,36:62:f9:a1:88:63,CSE OFFICE,-87
22,1,1,2462,26:94:5a:1b:90:4d,Tatakae🥷,-70
23,1,2,5805,34:60:f9:a1:88:63,,-89
24,1,2,2432,5c:e9:31:22:be:d6,,-74
25,1,2,5805,36:62:f9:a1:88:57,CSE OFFICE,-77
26,1,2,2437,36:56:20:d4:75:60,Rayyan's Galaxy A24,-80
27,1,2,5785,bc:22:28:21:09:22,,-83
28,1,2,5785,bc:22:28:21:09:21,CSE-205,-83
29,1,2,2462,26:94:5a:1b:90:4d,Tatakae🥷,-68
30,1,2,5765,bc:22:28:21:55:6b,CSE-104,-72
31,1,2,5785,bc:22:28:21:09:b8,,-89
32,1,2,5745,52:29:6f:70:e8:02,Shakshor,-88
33,1,2,2432,5e:a9:31:22:be:d6,CSE-LAB,-74
34,1,2,5805,36:62:f9:a1:88:63,CSE OFFICE,-89
35,1,2,2462,34:e8:94:10:7d:fa,Hall of Fame,-84
36,1,3,5805,34:60:f9:a1:88:63,,-86
37,1,3,5785,bc:22:28:21:09:22,,-77
38,1,3,5785,bc:22:28:21:09:21,CSE-205,-76
39,1,3,2462,26:94:5a:1b:90:4d,Tatakae🥷,-68
40,1,3,2462,70:4c:a5:95:b6:00,BUET-Free-WiFi,-85
41,1,3,2412,a6:59:c9:64:d6:36,Pixel_5325,-65
42,1,3,5785,bc:22:28:21:09:b8,,-86
43,1,3,5745,52:29:6f:70:e8:02,Shakshor,-86
