entryId,roomNo,StudentID,DeviceModel,BatteryLifeBefore,BatteryLifeAfter,DateTime,NumScans,AvgDataPerScan
1,203,2005045,SM-S908E,74,73,18/11/2024: 12:52:44,20,12.55
2,203,2005005,CPH1931,42,42,18/11/2024: 12:54:18,20,34.25
3,203,2005031,RMX3085,56,56,18/11/2024: 12:54:44,20,10.65
4,203,2005037,23021RAAEG,72,72,18/11/2024: 12:56:09,20,12.15
5,203,2005026,V2116,58,58,18/11/2024: 12:56:59,20,10.55
6,203,2005058,SM-A525F,20,19,18/11/2024: 12:57:13,20,8.75
7,203,2005006,M2012K11AI,28,27,18/11/2024: 12:57:23,20,15.5
8,203,1905009,RMX3363,49,48,18/11/2024: 12:57:28,20,21.4
9,203,2005004,RMX3286,90,90,18/11/2024: 12:57:30,20,12.8
10,203,2005029,SM-A546E,70,69,18/11/2024: 12:57:32,20,21.2
11,203,2005031,RMX3085,56,56,18/11/2024: 12:57:35,5,6.8
12,203,2005052,SM-S711B,54,54,18/11/2024: 12:57:37,20,15.75
13,203,2005024,21061119BI,23,23,18/11/2024: 12:57:39,20,8.85
14,203,2005056,23122PCD1I,80,79,18/11/2024: 12:57:40,20,13.0
15,203,2005049,21061119AG,65,64,18/11/2024: 12:57:41,20,15.05
16,203,2005046,M2102J20SI,8,7,18/11/2024: 12:57:43,20,18.8
17,203,2005008,CPH2285,3,2,18/11/2024: 12:57:44,20,11.8
18,203,2005014,M2101K7BG,17,17,18/11/2024: 12:57:44,20,13.2
19,203,2005059,SM-A205F,69,68,18/11/2024: 12:58:06,20,12.0
20,203,2005048,RMX2103,52,52,18/11/2024: 12:58:18,20,22.45
21,203,2005001,M2101K7AI,77,76,18/11/2024: 13:38:00,13,14.23
22,203,2005028,SM-M127G,90,89,18/11/2024: 12:58:04,20,10.75
23,203,2005060,M2101K6I,50,50,18/11/2024: 12:59:17,20,10.05
24,203,2005018,SM-N770F,54,52,18/11/2024: 12:59:55,20,16.25
25,203,1607110,SM-M325F,80,80,18/11/2024: 13:08:40,1,9.0
26,203,1607110,SM-M325F,80,80,18/11/2024: 13:11:20,1,3.0
27,203,"160711023

1607110",SM-M325F,80,80,18/11/2024: 13:12:19,2,8.0
28,203,1607110,SM-M325F,80,80,18/11/2024: 13:13:03,20,17.95
29,203,2005038,M2101K7BG,80,80,18/11/2024: 12:58:47,5,14.0
30,204,2005102,RMX3286,40,40,18/11/2024: 13:11:22,20,9.15
31,204,2005074,motorola edge 50 pro,31,31,18/11/2024: 13:10:02,20,13.3
32,204,2005094,RMX3370,35,34,18/11/2024: 13:11:05,20,11.15
33,204,2005084,SM-G990B2,52,52,18/11/2024: 13:11:09,20,15.3
34,204,2005090,M2006C3MII,56,56,18/11/2024: 13:11:11,20,6.1
35,204,2005085,SM-A346E,62,62,18/11/2024: 13:11:23,20,18.8
36,204,2005063,23021RAAEG,58,58,18/11/2024: 13:12:24,20,12.4
37,204,2005077,SC-53C,39,39,18/11/2024: 13:13:32,20,7.7
38,204,2005112,motorola edge 50 pro,78,77,18/11/2024: 13:14:49,20,16.95
39,204,2005092,Infinix X6837,74,74,18/11/2024: 13:14:55,20,16.6
40,204,2005062,SM-A346E,48,47,18/11/2024: 13:15:15,4,20.75
41,204,2005105,RMX3085,82,82,18/11/2024: 13:15:23,20,16.5
42,204,2005081,2201117TG,44,43,18/11/2024: 13:15:30,14,10.14
43,204,1905010,SM-G615F,82,82,18/11/2024: 13:15:42,20,15.7
44,204,2005108,SM-E225F,50,50,18/11/2024: 13:16:07,20,13.25
45,204,1905078_Teacher,SM-M127G,4,4,18/11/2024: 13:20:00,20,11.5
46,204,1905009teacher,RMX3363,44,43,18/11/2024: 13:20:35,20,20.7
47,204,2005117,SM-M405F,14,11,18/11/2024: 13:31:29,9,14.44
48,204,2005110,RMX3085,2,80,18/11/2024: 16:56:44,10,13.4
49,204,2005119,Pixel 7a,45,45,18/11/2024: 13:08:53,3,14.0
50,204,2005075,SM-S918B,49,48,18/11/2024: 13:09:33,20,13.0
51,204,2005118,RMX3461,36,34,18/11/2024: 13:21:53,11,17.27
52,204,2005075,SM-S918B,48,48,18/11/2024: 13:12:54,20,20.75
53,Outside,1905008,Redmi 8,49,48,18/11/2024: 13:03:43,20,22.85
54,Outside,1905078,SM-M127G,4,4,18/11/2024: 12:57:56,20,13.9
55,Outside,1905020,SM-S918B,37,37,18/11/2024: 13:07:50,20,16.85
