entryId,roomNo,60:63:4c:31:37:40_CSE-303,30:b5:c2:ea:5b:44_DataLab@BUET,18:0f:76:c3:06:8d_CSE-304,00:22:b0:05:f3:bc_CSE-204,bc:22:28:21:09:21_CSE-205,36:20:f9:a1:88:62_CSE OFFICE,36:20:f9:a1:88:56_CSE OFFICE,bc:22:28:21:09:24_CSE-205,36:62:f9:a1:88:63_CSE OFFICE,bc:22:28:21:55:6b_CSE-104,34:e8:94:10:7d:fa_Hall of Fame,36:20:f9:a1:8b:8e_CSE OFFICE,36:20:f9:a1:8b:8e_CSE OFFICE,5e:a9:31:22:bb:0a_CSE-LAB,bc:22:28:21:55:6e_CSE-104,bc:22:28:21:09:ba_CSE-206,26:2f:d0:88:39:a2_IAC,36:62:f9:a1:88:57_CSE OFFICE,60:63:4c:31:37:60_CSE-306,10:62:eb:77:b7:42_CSE-G04,00:1e:2a:ba:c8:20_CSE-401,70:4c:a5:95:b6:00_BUET-Free-WiFi,60:63:4c:31:37:48_dlink
1,203,-54.67,-69.67,-65.0,-74.0,-60.33,-65.25,-90.0,-52.67,-87.0,-91.5,-90.0,-71.0,-71.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-70.0,-90.0,-90.0,-90.0
2,203,-65.75,-66.83,-68.67,-67.25,-59.33,-67.33,-73.33,-57.17,-84.75,-85.0,-79.0,-79.0,-79.0,-80.0,-79.0,-86.33,-90.0,-90.0,-90.0,-80.0,-79.0,-90.0,-83.17
3,203,-51.0,-74.0,-90.0,-90.0,-66.92,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-80.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-79.42
4,203,-71.0,-74.0,-74.5,-70.0,-63.08,-70.67,-82.0,-60.29,-91.67,-95.0,-90.0,-81.33,-81.33,-83.0,-90.0,-90.0,-90.0,-90.0,-90.0,-72.67,-90.0,-90.0,-90.0
5,203,-80.33,-74.8,-78.0,-90.0,-73.27,-76.5,-87.0,-69.83,-95.83,-90.0,-90.0,-81.0,-81.0,-90.0,-90.0,-94.0,-90.0,-90.0,-94.0,-78.75,-85.5,-90.0,-94.67
6,203,-64.0,-66.0,-69.5,-63.5,-57.42,-66.0,-73.0,-68.83,-91.0,-91.0,-71.0,-83.0,-83.0,-75.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
7,203,-61.12,-70.0,-63.33,-75.33,-58.08,-66.5,-77.67,-56.5,-84.25,-88.1,-90.0,-74.0,-74.0,-76.0,-90.0,-90.0,-90.0,-90.0,-90.0,-68.0,-90.0,-90.0,-90.0
8,203,-56.5,-66.0,-60.83,-65.0,-54.08,-61.33,-76.67,-50.56,-80.82,-79.83,-80.11,-75.0,-75.0,-90.0,-73.11,-72.0,-90.0,-90.0,-82.0,-59.67,-83.78,-87.67,-81.17
9,203,-70.33,-71.67,-77.0,-69.17,-56.0,-69.0,-90.0,-61.25,-91.4,-95.0,-90.0,-77.0,-77.0,-90.0,-90.0,-81.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-87.67
10,203,-61.64,-73.17,-68.83,-69.86,-64.25,-69.22,-74.67,-64.33,-90.0,-90.0,-90.0,-79.33,-79.33,-90.0,-90.0,-85.0,-90.0,-90.0,-86.0,-76.0,-86.0,-90.0,-90.0
11,203,-63.0,-78.0,-90.0,-90.0,-65.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-83.0
12,203,-59.0,-67.44,-65.33,-76.75,-63.22,-63.18,-90.0,-57.73,-83.67,-90.0,-77.0,-82.0,-82.0,-90.0,-90.0,-90.0,-90.0,-90.0,-85.0,-90.0,-90.0,-90.0,-90.0
13,203,-79.0,-73.0,-74.0,-69.0,-67.0,-74.0,-74.0,-69.2,-90.0,-90.0,-90.0,-81.0,-81.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-70.0,-90.0,-90.0,-90.0
14,203,-59.5,-64.5,-60.0,-66.17,-62.08,-67.56,-90.0,-55.17,-83.75,-90.0,-74.0,-73.0,-73.0,-90.0,-90.0,-90.0,-76.0,-90.0,-86.0,-90.0,-90.0,-90.0,-90.0
15,203,-52.57,-73.0,-67.33,-70.75,-57.42,-60.67,-90.0,-53.08,-87.09,-85.91,-90.0,-75.0,-75.0,-90.0,-77.0,-73.0,-90.0,-90.0,-84.5,-64.0,-90.0,-90.0,-90.0
16,203,-67.14,-68.44,-74.0,-64.5,-50.58,-69.25,-78.5,-63.33,-89.67,-91.25,-79.2,-85.0,-85.0,-90.0,-80.42,-90.0,-90.0,-90.0,-88.0,-75.0,-86.4,-90.0,-90.0
17,203,-90.0,-72.67,-77.0,-90.0,-57.25,-68.33,-79.0,-63.73,-90.0,-90.0,-90.0,-81.5,-81.5,-90.0,-84.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-88.64
18,203,-65.12,-61.0,-70.67,-67.75,-49.67,-67.0,-76.0,-52.33,-80.83,-86.0,-80.0,-72.5,-72.5,-72.5,-90.0,-90.0,-75.0,-92.0,-86.0,-69.5,-78.0,-90.0,-90.0
19,203,-53.67,-73.33,-68.5,-68.67,-90.0,-64.5,-76.5,-55.67,-90.0,-90.0,-78.0,-73.5,-73.5,-81.0,-75.0,-88.0,-73.0,-90.0,-81.0,-67.33,-83.33,-90.0,-90.0
20,203,-65.44,-74.38,-67.0,-80.0,-51.0,-67.0,-77.0,-55.42,-86.58,-83.0,-86.0,-77.67,-77.67,-90.0,-90.0,-90.0,-90.0,-90.0,-55.0,-90.0,-88.0,-90.0,-88.83
21,203,-70.8,-72.67,-71.0,-72.5,-62.62,-63.67,-79.0,-56.5,-84.12,-90.0,-87.0,-90.0,-90.0,-90.0,-90.0,-90.0,-79.0,-90.0,-90.0,-90.0,-85.0,-90.0,-90.0
22,203,-62.67,-64.78,-68.67,-70.11,-90.0,-68.0,-77.6,-65.75,-90.0,-90.0,-78.0,-86.0,-86.0,-63.5,-86.5,-86.0,-90.0,-90.0,-90.0,-70.0,-78.0,-90.0,-90.0
23,203,-71.0,-75.67,-71.67,-78.0,-66.0,-68.4,-83.0,-64.0,-88.11,-83.67,-90.0,-90.0,-90.0,-90.0,-76.67,-87.0,-90.0,-92.0,-90.0,-90.0,-90.0,-90.0,-90.0
24,203,-63.0,-72.75,-74.75,-77.5,-64.25,-70.33,-83.0,-61.92,-88.56,-83.67,-84.0,-81.0,-81.0,-90.0,-70.0,-73.5,-81.0,-90.0,-80.0,-69.6,-85.5,-90.0,-90.0
25,203,-90.0,-61.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
26,203,-58.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
27,203,-90.0,-71.0,-58.0,-58.0,-54.0,-90.0,-90.0,-90.0,-82.0,-83.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-59.0,-90.0,-90.0,-90.0,-90.0
28,203,-66.0,-74.0,-55.0,-62.0,-61.0,-55.0,-76.0,-59.0,-86.0,-89.0,-90.0,-90.0,-90.0,-90.0,-74.5,-90.0,-90.0,-90.0,-69.0,-90.0,-90.0,-90.0,-90.0
29,203,-62.67,-59.33,-90.0,-64.0,-58.33,-63.0,-69.5,-53.0,-83.0,-87.0,-67.0,-90.0,-90.0,-67.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
30,204,-66.33,-78.0,-56.0,-61.6,-78.36,-68.0,-64.33,-68.0,-96.0,-88.67,-90.0,-90.0,-90.0,-71.0,-74.0,-80.0,-90.0,-88.33,-90.0,-90.0,-90.0,-90.0,-87.91
31,204,-52.17,-74.0,-51.0,-54.17,-74.0,-61.0,-48.0,-74.0,-84.91,-78.75,-68.5,-81.0,-81.0,-57.67,-90.0,-90.0,-60.0,-70.42,-90.0,-90.0,-90.0,-89.0,-90.0
32,204,-66.67,-77.5,-90.0,-57.0,-70.78,-65.33,-55.58,-69.5,-84.67,-80.5,-70.0,-75.0,-75.0,-90.0,-75.67,-90.0,-66.0,-62.42,-90.0,-90.0,-90.0,-90.0,-83.0
33,204,-63.0,-68.5,-62.33,-54.55,-75.0,-64.0,-47.64,-74.0,-85.0,-83.0,-63.9,-90.0,-90.0,-60.0,-90.0,-76.0,-54.0,-66.67,-90.0,-90.0,-90.0,-84.0,-90.0
34,204,-65.0,-84.0,-67.5,-64.75,-90.0,-77.0,-58.5,-85.0,-90.0,-90.0,-78.4,-90.0,-90.0,-68.4,-83.67,-95.0,-70.5,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
35,204,-65.33,-78.42,-69.0,-47.83,-70.5,-90.0,-52.44,-77.5,-97.0,-88.08,-76.33,-90.0,-90.0,-65.92,-78.0,-78.0,-69.33,-74.75,-90.0,-90.0,-90.0,-91.0,-90.0
