entryId,roomNo,Galaxy M124213,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-G04,CSE-G07,CSE-306,dlink,CSE-401
1,Outside,-70.56,-56.56,-53.13,-60.2,-64.12,-51.43,-54.18,-90.0,-90.0,-69.0,-77.5,-90.0
2,Outside,-66.62,-67.83,-55.79,-52.31,-70.83,-60.5,-54.46,-90.0,-73.08,-67.14,-90.0,-90.0
3,203,-56.72,-69.22,-61.36,-69.0,-78.38,-63.22,-70.25,-81.8,-84.0,-86.5,-82.76,-90.0
4,Outside,-69.94,-59.85,-56.55,-90.0,-53.83,-57.81,-62.5,-85.67,-90.0,-76.25,-78.35,-75.0
5,Outside,-60.79,-64.7,-67.4,-75.0,-71.73,-46.5,-87.07,-90.0,-90.0,-90.0,-90.0,-79.0
6,203,-58.2,-65.9,-61.85,-71.65,-70.3,-66.0,-90.0,-69.5,-90.0,-86.5,-84.33,-81.0
7,203,-57.0,-65.72,-68.37,-68.57,-84.0,-65.61,-66.5,-81.0,-80.91,-90.0,-85.0,-77.2
8,203,-56.12,-67.71,-65.12,-60.57,-79.75,-61.37,-64.71,-69.8,-82.73,-82.0,-84.12,-90.0
9,203,-50.0,-65.93,-61.4,-61.27,-79.0,-58.25,-62.58,-79.71,-86.1,-76.0,-84.67,-80.33
10,203,-51.33,-60.37,-64.29,-68.62,-77.27,-53.75,-90.0,-81.25,-89.4,-85.5,-84.65,-90.0
11,203,-58.39,-73.94,-60.67,-66.27,-79.5,-63.33,-66.67,-74.85,-84.33,-85.33,-83.0,-85.0
12,203,-55.83,-69.33,-62.78,-71.4,-82.0,-61.62,-90.0,-80.5,-84.57,-90.0,-87.5,-90.0
13,203,-61.53,-61.45,-66.22,-72.8,-72.0,-63.65,-81.25,-70.2,-90.0,-86.0,-84.75,-79.0
14,Outside,-67.59,-47.3,-60.25,-65.0,-69.2,-50.33,-51.73,-90.0,-86.0,-74.33,-90.0,-74.0
15,203,-50.0,-72.77,-61.33,-62.37,-82.4,-61.42,-67.0,-74.3,-86.67,-90.0,-84.39,-83.0
16,Outside,-66.6,-57.67,-49.77,-48.73,-69.25,-63.62,-50.67,-90.0,-82.8,-63.7,-90.0,-90.0
17,203,-42.47,-62.0,-63.27,-63.67,-78.0,-58.0,-67.0,-82.5,-86.0,-86.0,-86.58,-90.0
18,203,-68.78,-68.95,-68.31,-74.07,-80.0,-66.61,-90.0,-78.5,-90.0,-90.0,-86.14,-77.5
19,Outside,-71.69,-68.75,-61.4,-57.5,-78.5,-65.92,-48.75,-70.4,-78.0,-68.0,-90.0,-90.0
20,203,-54.76,-75.12,-63.5,-67.33,-85.1,-64.6,-71.0,-76.55,-83.33,-88.0,-83.0,-80.33
21,203,-67.62,-65.6,-63.0,-63.0,-83.0,-64.94,-90.0,-78.0,-85.0,-80.33,-81.71,-81.5
22,Outside,-63.62,-69.85,-73.07,-76.19,-66.81,-53.2,-86.4,-80.43,-90.0,-87.0,-90.0,-84.4
23,203,-64.5,-69.88,-70.87,-75.83,-76.8,-63.0,-90.0,-76.64,-90.0,-86.0,-85.83,-82.0
24,Outside,-64.47,-62.5,-67.33,-74.71,-54.87,-53.58,-80.78,-79.5,-90.0,-85.5,-82.37,-73.5
25,203,-51.06,-77.25,-53.0,-65.09,-83.0,-66.21,-72.0,-76.55,-79.73,-78.5,-83.37,-90.0
