entryId,roomNo,Galaxy M124213,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-108,CSE-404,CSE-G04,CSE-G07,CSE-306,dlink
1,Outside,-66.27,-60.47,-67.29,-58.46,-80.27,-71.8,-54.07,-77.0,-78.37,-83.75,-83.17,-73.33,-88.0
2,204,-63.53,-47.0,-76.5,-60.33,-66.44,-52.0,-69.0,-90.0,-83.5,-86.6,-90.0,-90.0,-88.0
3,Outside,-74.22,-60.94,-57.4,-71.67,-59.57,-44.0,-59.87,-89.5,-90.0,-83.67,-90.0,-77.5,-79.17
4,204,-37.44,-58.67,-64.25,-51.56,-70.62,-69.71,-52.56,-86.77,-70.0,-90.0,-84.44,-87.0,-85.47
5,Outside,-70.0,-57.41,-55.75,-65.33,-73.82,-52.0,-56.64,-81.89,-72.29,-80.0,-84.75,-70.43,-90.0
6,204,-43.0,-53.72,-68.92,-57.64,-58.59,-72.09,-58.12,-89.0,-80.33,-83.33,-89.0,-90.0,-87.0
7,Outside,-66.94,-74.17,-58.5,-56.87,-83.64,-67.93,-46.4,-83.31,-78.67,-65.93,-66.58,-67.86,-90.0
8,Outside,-53.24,-64.75,-66.14,-60.2,-72.0,-72.25,-48.0,-77.0,-76.37,-90.0,-86.2,-82.0,-90.0
9,204,-65.28,-55.83,-54.73,-45.56,-73.25,-66.56,-58.54,-85.25,-71.69,-84.0,-76.83,-77.0,-77.71
10,204,-57.76,-59.76,-67.0,-57.31,-73.57,-67.93,-65.67,-85.79,-76.57,-88.0,-87.67,-90.0,-82.65
11,204,-63.37,-61.33,-72.0,-65.25,-71.0,-81.33,-68.8,-87.5,-82.71,-90.0,-90.0,-90.0,-90.0
12,Outside,-64.94,-69.58,-75.5,-63.8,-73.6,-72.67,-52.86,-77.53,-90.0,-90.0,-83.9,-81.5,-90.0
13,Outside,-65.44,-68.71,-77.0,-62.92,-75.27,-78.33,-49.18,-81.07,-77.25,-87.0,-76.38,-72.56,-90.0
14,204,-55.39,-56.0,-61.79,-54.5,-70.93,-66.45,-62.5,-90.0,-83.5,-85.5,-84.09,-88.0,-90.0
15,204,-48.06,-57.44,-63.27,-53.82,-66.93,-65.67,-56.62,-84.0,-76.4,-90.0,-89.33,-90.0,-79.83
16,Outside,-65.0,-47.75,-54.0,-66.6,-67.62,-49.69,-59.0,-87.33,-90.0,-82.75,-89.33,-79.0,-71.0
17,204,-49.78,-66.56,-56.1,-42.0,-71.12,-68.56,-44.0,-79.75,-71.0,-79.0,-81.89,-82.25,-82.44
18,Outside,-64.0,-69.5,-54.5,-60.71,-74.85,-64.15,-54.18,-86.09,-82.0,-72.0,-75.42,-71.25,-63.0
19,204,-52.13,-58.29,-69.58,-59.15,-67.06,-68.31,-64.71,-87.33,-90.0,-82.75,-86.0,-81.5,-86.19
20,Outside,-76.71,-68.19,-59.62,-59.0,-83.0,-68.0,-47.79,-79.5,-78.0,-74.67,-77.45,-67.36,-90.0
21,204,-60.0,-51.65,-67.5,-56.14,-62.28,-66.17,-64.0,-83.67,-69.0,-85.0,-87.75,-85.67,-84.71
22,204,-61.35,-65.0,-58.2,-48.0,-70.62,-67.86,-55.92,-76.17,-72.4,-83.5,-78.78,-74.0,-90.0
23,204,-58.41,-65.81,-66.5,-53.62,-69.0,-72.5,-57.53,-77.07,-67.33,-79.5,-85.23,-87.5,-82.35
24,204,-59.17,-63.56,-67.0,-56.47,-68.81,-70.62,-58.37,-87.8,-75.2,-87.0,-90.0,-89.0,-85.5
25,204,-50.39,-58.56,-58.24,-55.33,-65.6,-68.33,-58.0,-81.73,-78.0,-82.67,-88.0,-90.0,-85.11
26,204,-56.0,-60.06,-57.5,-55.43,-70.13,-70.73,-53.83,-79.8,-75.14,-86.0,-87.78,-90.0,-81.0
27,204,-61.83,-60.5,-62.15,-45.0,-71.2,-67.21,-64.37,-77.18,-66.62,-76.0,-85.33,-81.25,-81.74
28,204,-64.56,-56.0,-73.62,-65.0,-68.42,-78.0,-59.53,-84.0,-84.0,-90.0,-90.0,-85.33,-90.0
29,204,-64.5,-47.72,-71.71,-68.06,-65.0,-64.64,-62.6,-89.0,-84.07,-87.31,-90.0,-90.0,-86.65
30,204,-58.11,-56.18,-70.6,-52.62,-73.36,-64.45,-64.29,-80.5,-90.0,-90.0,-90.0,-90.0,-86.89
31,204,-50.78,-55.44,-62.78,-51.0,-72.37,-66.5,-41.41,-80.93,-77.33,-85.29,-88.0,-90.0,-84.39
32,204,-13.05,-67.57,-63.79,-57.64,-63.8,-73.6,-61.2,-90.0,-77.8,-83.0,-84.57,-90.0,-85.25
33,204,-43.82,-62.06,-66.17,-49.39,-71.72,-75.0,-59.09,-81.8,-73.22,-85.73,-89.0,-75.75,-84.56
34,204,-59.39,-44.21,-60.4,-62.4,-68.24,-55.05,-65.86,-85.0,-82.0,-84.0,-87.0,-90.0,-83.75
35,204,-45.75,-54.06,-56.4,-40.0,-65.12,-69.58,-57.31,-77.12,-68.67,-81.0,-81.83,-74.0,-82.41
36,Outside,-75.28,-53.5,-57.2,-69.78,-63.56,-48.92,-57.0,-84.09,-80.53,-80.33,-90.0,-74.5,-90.0
37,Outside,-65.41,-69.78,-53.57,-55.5,-74.21,-66.0,-51.37,-82.07,-72.87,-81.92,-76.5,-62.78,-90.0
38,Outside,-61.59,-68.85,-52.25,-55.0,-75.56,-71.43,-53.0,-78.0,-78.75,-90.0,-68.75,-73.0,-90.0
39,Outside,-61.88,-63.83,-69.83,-58.24,-81.5,-68.5,-47.53,-82.75,-83.44,-88.0,-80.71,-82.0,-90.0
40,Outside,-74.67,-59.81,-56.13,-90.0,-58.57,-56.37,-56.36,-79.0,-83.4,-81.0,-87.0,-71.67,-75.35
41,Outside,-70.41,-68.89,-53.62,-51.0,-78.56,-68.0,-53.43,-83.75,-75.06,-68.67,-65.0,-55.37,-90.0
42,Outside,-66.37,-59.0,-50.76,-66.0,-74.81,-63.0,-53.87,-82.12,-80.0,-81.5,-82.64,-67.55,-90.0
43,Outside,-62.33,-70.44,-51.44,-64.35,-73.56,-52.4,-90.0,-85.67,-79.0,-77.0,-76.5,-64.37,-90.0
