,Galaxy M124213,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-G04,CSE-G07,CSE-306,dlink,CSE-401,,
CSE_203_r4c4_i,-53.82,-66.2,-53.67,-48,-71.33,-54.5,-90,-68,-73.62,-90,-85,-74.33,1,1
CSE_203_r0c3_o,-64.09,-48.43,-48,-44.5,-53.67,-45.56,-46.57,-90,-90,-52,-70.36,-90,1,0
CSE_203_r0c1_o,-60.55,-45,-50.3,-46.33,-53.25,-45.25,-48.89,-90,-63.14,-56.33,-90,-90,1,0
CSE_203_r3c2_i,-51.82,-63,-54.44,-55.2,-68.62,-52.5,-70.25,-61.25,-72,-86.5,-75.36,-90,0,1
CSE_203_r0c5_o,-63.55,-52.37,-48.57,-90,-48,-51.44,-38.33,-85.67,-90,-57.5,-71.09,-75,1,0
CSE_203_r3c4_i,-49.09,-64.18,-47.8,-70.67,-66.18,-41.55,-90,-84,-75.62,-85,-76.91,-75.25,1,1
CSE_203_r4c2_i,-51.82,-58.55,-57.17,-57.17,-72,-59.55,-66.5,-81,-67.33,-90,-77.27,-57.75,0,1
CSE_203_r2c5_o,-56.18,-46.75,-52.6,-75,-60.14,-31.1,-90,-90,-90,-90,-90,-75,1,0
CSE_203_r1c1_i,-51.09,-61.45,-54.33,-46,-59.5,-54.33,-48.25,-52,-71.14,-82,-74.78,-90,1,1
CSE_203_r1c3_i,-45.45,-59.1,-51.17,-53.5,-65.83,-52.3,-53.86,-59.75,-73.86,-76,-77,-80.33,1,1
CSE_203_r2c3_i,-46.64,-54.82,-49.25,-55,-69.4,-48.4,-90,-81.25,-59.33,-85.5,-77.09,-90,0,1
CSE_203_r2c1_i,-52.36,-66.9,-45.25,-57,-71.2,-54.75,-66.67,-67.2,-76.1,-85.33,-75.45,-85,0,1
CSE_203_r1c5_o,-53.09,-55.86,-52.83,-75,-59.33,-40.8,-90,-90,-90,-90,-77.6,-79,1,0
CSE_203_r4c3_i,-50.64,-61.91,-52.17,-47.33,-68.33,-55.6,-90,-80.5,-74.89,-90,-73,-90,0,1
CSE_203_r0c4_o,-61.36,-40.86,-52.75,-65,-51.75,-45.5,-43.17,-90,-86,-74.33,-90,-74,1,0
CSE_203_r3c1_i,-45.45,-65.4,-52.43,-52.17,-70.43,-52.57,-57.43,-65.37,-86.67,-90,-76.82,-83,0,1
CSE_203_r0c2_o,-60.55,-57.67,-44.11,-43.8,-55.4,-51.2,-45.7,-90,-62,-54.57,-90,-90,1,0
CSE_203_r3c3_i,-38.64,-56.73,-53,-54.57,-68.25,-52.2,-67,-82.5,-69,-86,-74.29,-90,0,1
CSE_203_r3c5_o,-48.55,-51.25,-60.87,-72,-59.2,-41.89,-90,-86,-90,-90,-90,-90,1,0
CSE_203_r0c0_o,-65,-55.4,-52.57,-39.33,-78.5,-58.33,-42.75,-53,-58.5,-56.83,-90,-90,1,0
CSE_203_r4c1_i,-49.73,-68.36,-50.8,-45,-72.71,-58.3,-71,-66.87,-73,-88,-83,-80.33,0,1
CSE_203_r1c2_i,-61.45,-59.1,-55.12,-50.4,-69.17,-59.09,-90,-58,-70.83,-80.33,-73.7,-81.5,1,1
CSE_203_r1c4_i,-61.55,-53.82,-55.87,-69,-67.78,-50.73,-68.5,-63,-58,-84.33,-88,-78,1,1
CSE_203_r2c4_i,-56.64,-62.78,-46.67,-52.5,-71.2,-42.55,-90,-63,-89,-87,-90,-57.75,1,1
CSE_203_r2c2_i,-46.36,-51.33,-44.17,-54.17,-66.4,-59.22,-72,-65.43,-71.4,-78.5,-75.73,-90,0,1
