,Galaxy M124213,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-108,CSE-404,CSE-G04,CSE-G07,CSE-306,dlink,,
CSE_204_r4c0_o,-59.91,-54.4,-53.8,-52,-71.22,-53.75,-48.5,-69.4,-65.17,-83.75,-73.67,-61.33,-88,1,0
CSE_204_r4c4_i,-57.73,-42.73,-76.5,-51,-60.18,-46,-69,-90,-55.67,-65,-90,-90,-88,1,1
CSE_204_r0c5_o,-67.27,-54.82,-49.57,-71.67,-53.91,-39.6,-49.83,-89.5,-90,-83.67,-90,-77.5,-71.91,1,0
CSE_204_r3c2_i,-33.91,-53.64,-57.11,-47.09,-64.27,-55.8,-47.4,-77.9,-47.67,-90,-70.17,-87,-77.64,0,1
CSE_204_r0c3_o,-63.64,-51.7,-49.89,-54.17,-66.2,-46.33,-50.22,-69.5,-54.5,-80,-67.6,-53.25,-90,1,0
CSE_204_r3c4_i,-39.09,-48.82,-61.44,-48,-53.18,-60.33,-52.2,-89,-80.33,-83.33,-89,-90,-87,0,1
CSE_204_r0c1_o,-60.82,-67.55,-52.6,-52.5,-71.43,-60.33,-42.45,-74.9,-78.67,-58.67,-58.25,-58,-90,1,0
CSE_204_r3c0_o,-48.27,-58.91,-49.75,-50,-65.45,-57.8,-41.29,-69.5,-61,-90,-73.86,-82,-90,1,0
CSE_204_r4c2_i,-59.09,-50.36,-45.83,-41.36,-66.36,-59.7,-52.5,-75.8,-63.56,-84,-65.86,-77,-70.73,1,1
CSE_204_r1c2_i,-52.36,-54.18,-59.56,-51.5,-66.1,-61.2,-49,-77,-58,-88,-73,-90,-74.5,0,1
CSE_204_r1c4_i,-57.55,-56.36,-54,-65.25,-64.55,-81.33,-45.67,-87.5,-61.75,-90,-90,-90,-90,0,1
CSE_204_r1c0_o,-59,-62.11,-57,-54.57,-65.33,-60.33,-47,-69.4,-90,-90,-73.25,-81.5,-90,1,0
CSE_204_r2c0_o,-59.36,-62,-66,-54.87,-67.8,-52,-44.2,-72.9,-77.25,-87,-67.67,-62.29,-90,1,0
CSE_204_r2c4_i,-50.36,-51.09,-54.78,-47.87,-64.45,-58.12,-56.2,-90,-83.5,-85.5,-70,-88,-90,0,1
CSE_204_r2c2_i,-43.73,-51.91,-53.17,-49,-60.82,-57.5,-50.22,-75.89,-50.67,-90,-60,-90,-72.64,0,1
CSE_204_r0c4_o,-59.09,-43.1,-48,-50.25,-60.9,-44.5,-59,-76.25,-90,-82.75,-89.33,-79,-64.55,1,0
CSE_204_r3c1_i,-45.27,-59.6,-48.57,-38.36,-63.22,-57,-39.6,-71.1,-71,-79,-68.17,-82.25,-74.91,1,1
CSE_204_r0c2_o,-58.18,-63.27,-49.73,-54.6,-67.1,-56.37,-48.7,-74,-82,-60,-67,-62,-57.27,1,0
CSE_204_r3c3_i,-47.09,-51.9,-62.9,-51.87,-60.5,-59.75,-57.67,-72.83,-90,-82.75,-57.33,-81.5,-76.67,0,1
CSE_204_r0c0_o,-69.64,-61.11,-52.12,-47,-83,-58.57,-43,-70.89,-78,-74.67,-69.5,-58.87,-90,1,0
CSE_204_r4c3_i,-54.55,-47,-56.17,-50,-56.36,-57.87,-51.4,-76.4,-45.67,-85,-87.75,-85.67,-76.2,1,1
CSE_204_r4c1_i,-55.82,-59.36,-50.87,-43.64,-64.09,-60.56,-48.87,-68.73,-47.67,-83.5,-65.67,-55.5,-90,1,1
CSE_204_r1c1_i,-53,-59.64,-66.5,-48.82,-62.73,-54.25,-52,-68.8,-57.33,-79.5,-74.5,-87.5,-74.73,1,1
CSE_204_r1c3_i,-53.64,-58,-53.4,-51.36,-62.45,-61.62,-53,-73.17,-57,-87,-90,-89,-77.82,0,1
CSE_204_r2c3_i,-46.18,-53.27,-52.9,-49.11,-59.55,-58.57,-51.44,-74,-78,-82.67,-75.43,-90,-77.45,0,1
CSE_204_r2c1_i,-50.91,-54.1,-45.8,-49.8,-63.2,-61.75,-48.5,-72.2,-62.83,-86,-75.14,-90,-73.64,1,1
