entryId,roomNo,Hall of Fame,CSE-G04,DataLab@BUET,dlink,CSE-303,Galaxy M124213,CSE-G07,CSE-306,CSE-206,CSE-204,CSE-304
1,Outside,-64.12,-90.0,-51.43,-77.5,-53.13,-70.56,-90.0,-69.0,-54.18,-56.56,-60.2
2,Outside,-70.83,-90.0,-60.5,-90.0,-55.79,-66.62,-73.08,-67.14,-54.46,-67.83,-52.31
3,203,-78.38,-81.8,-63.22,-82.76,-61.36,-56.72,-84.0,-86.5,-70.25,-69.22,-69.0
4,Outside,-53.83,-85.67,-57.81,-78.35,-56.55,-69.94,-90.0,-76.25,-62.5,-59.85,-90.0
5,Outside,-71.73,-90.0,-46.5,-90.0,-67.4,-60.79,-90.0,-90.0,-87.07,-64.7,-75.0
6,203,-70.3,-69.5,-66.0,-84.33,-61.85,-58.2,-90.0,-86.5,-90.0,-65.9,-71.65
7,203,-84.0,-81.0,-65.61,-85.0,-68.37,-57.0,-80.91,-90.0,-66.5,-65.72,-68.57
8,203,-79.75,-69.8,-61.37,-84.12,-65.12,-56.12,-82.73,-82.0,-64.71,-67.71,-60.57
9,203,-79.0,-79.71,-58.25,-84.67,-61.4,-50.0,-86.1,-76.0,-62.58,-65.93,-61.27
10,203,-77.27,-81.25,-53.75,-84.65,-64.29,-51.33,-89.4,-85.5,-90.0,-60.37,-68.62
11,203,-79.5,-74.85,-63.33,-83.0,-60.67,-58.39,-84.33,-85.33,-66.67,-73.94,-66.27
12,203,-82.0,-80.5,-61.62,-87.5,-62.78,-55.83,-84.57,-90.0,-90.0,-69.33,-71.4
13,203,-72.0,-70.2,-63.65,-84.75,-66.22,-61.53,-90.0,-86.0,-81.25,-61.45,-72.8
14,Outside,-69.2,-90.0,-50.33,-90.0,-60.25,-67.59,-86.0,-74.33,-51.73,-47.3,-65.0
15,203,-82.4,-74.3,-61.42,-84.39,-61.33,-50.0,-86.67,-90.0,-67.0,-72.77,-62.37
16,Outside,-69.25,-90.0,-63.62,-90.0,-49.77,-66.6,-82.8,-63.7,-50.67,-57.67,-48.73
17,203,-78.0,-82.5,-58.0,-86.58,-63.27,-42.47,-86.0,-86.0,-67.0,-62.0,-63.67
18,203,-80.0,-78.5,-66.61,-86.14,-68.31,-68.78,-90.0,-90.0,-90.0,-68.95,-74.07
19,Outside,-78.5,-70.4,-65.92,-90.0,-61.4,-71.69,-78.0,-68.0,-48.75,-68.75,-57.5
20,203,-85.1,-76.55,-64.6,-83.0,-63.5,-54.76,-83.33,-88.0,-71.0,-75.12,-67.33
21,203,-83.0,-78.0,-64.94,-81.71,-63.0,-67.62,-85.0,-80.33,-90.0,-65.6,-63.0
22,Outside,-66.81,-80.43,-53.2,-90.0,-73.07,-63.62,-90.0,-87.0,-86.4,-69.85,-76.19
23,203,-76.8,-76.64,-63.0,-85.83,-70.87,-64.5,-90.0,-86.0,-90.0,-69.88,-75.83
24,Outside,-54.87,-79.5,-53.58,-82.37,-67.33,-64.47,-90.0,-85.5,-80.78,-62.5,-74.71
25,203,-83.0,-76.55,-66.21,-83.37,-53.0,-51.06,-79.73,-78.5,-72.0,-77.25,-65.09
26,Outside,-75.33,-90.0,-57.22,-90.0,-54.0,-57.33,-76.33,-77.5,-53.33,-68.5,-53.0
27,203,-78.0,-90.0,-52.19,-86.43,-65.86,-57.94,-88.0,-87.0,-90.0,-63.71,-90.0
28,Outside,-73.0,-70.0,-57.69,-90.0,-49.29,-65.18,-83.0,-68.0,-56.27,-66.83,-55.4
29,203,-71.14,-86.0,-51.23,-83.39,-62.08,-54.89,-89.0,-90.0,-65.75,-66.29,-90.0
30,203,-76.0,-90.0,-54.71,-86.29,-69.7,-50.11,-88.0,-90.0,-90.0,-62.43,-68.0
31,203,-80.67,-84.0,-62.4,-85.89,-59.25,-60.76,-84.79,-90.0,-90.0,-64.0,-90.0
32,203,-80.73,-82.0,-62.62,-87.67,-61.56,-55.6,-83.5,-85.75,-74.85,-72.42,-75.5
33,203,-75.0,-82.25,-54.85,-86.91,-66.65,-60.45,-85.0,-86.2,-63.79,-61.45,-68.25
34,203,-75.2,-78.0,-53.47,-78.0,-56.42,-56.33,-87.56,-81.33,-62.5,-63.5,-90.0
35,203,-74.7,-80.33,-56.69,-81.0,-61.08,-21.05,-86.0,-86.83,-70.62,-67.31,-68.89
36,203,-73.15,-73.25,-67.57,-85.68,-64.12,-62.25,-82.0,-90.0,-71.2,-70.07,-61.29
37,203,-77.86,-77.0,-67.6,-85.0,-62.43,-58.0,-84.44,-90.0,-67.9,-71.5,-66.75
38,Outside,-69.14,-90.0,-61.15,-72.0,-57.58,-66.89,-76.44,-67.0,-49.0,-59.2,-50.18
39,203,-79.0,-80.25,-66.0,-83.31,-63.17,-57.06,-84.71,-83.0,-63.29,-74.3,-63.5
40,Outside,-72.62,-85.0,-47.0,-90.0,-63.4,-47.53,-89.0,-90.0,-69.75,-60.69,-66.78
41,Outside,-66.8,-90.0,-48.94,-85.59,-63.1,-64.19,-90.0,-75.0,-63.75,-60.08,-70.67
42,203,-78.5,-82.0,-57.21,-83.53,-55.0,-54.58,-88.0,-90.0,-72.0,-72.0,-66.0
43,Outside,-74.83,-75.75,-67.0,-90.0,-56.57,-71.05,-79.43,-67.43,-54.62,-65.8,-59.67
44,Outside,-63.0,-73.0,-64.1,-90.0,-60.43,-64.24,-79.14,-75.29,-64.67,-61.29,-58.0
45,Outside,-64.56,-90.0,-58.47,-81.0,-56.43,-76.58,-88.0,-76.0,-63.25,-57.08,-66.21
46,Outside,-70.0,-85.5,-51.44,-87.0,-70.0,-67.1,-90.0,-90.0,-78.33,-68.0,-76.67
47,203,-75.33,-85.0,-51.93,-86.79,-62.7,-55.89,-87.0,-90.0,-90.0,-69.0,-70.0
48,Outside,-73.0,-79.0,-60.27,-90.0,-54.5,-60.93,-77.0,-70.0,-52.33,-61.15,-55.0
49,203,-76.0,-82.67,-48.64,-86.83,-75.0,-67.12,-85.0,-90.0,-65.0,-64.45,-90.0
50,203,-77.33,-90.0,-64.91,-83.59,-67.33,-56.0,-86.4,-85.0,-90.0,-68.87,-69.8
51,203,-78.83,-78.0,-64.2,-87.71,-57.44,-53.61,-80.75,-84.0,-73.4,-76.67,-70.0
52,203,-78.75,-77.33,-56.53,-87.44,-73.13,-48.5,-86.25,-84.92,-76.33,-71.37,-73.07
53,203,-79.47,-78.71,-54.39,-85.55,-61.67,-53.23,-83.89,-84.83,-68.0,-59.65,-58.58
