scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
1,1,0,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-49
2,1,0,2432,60:63:4c:31:37:40,CSE-303,-54
3,1,0,2457,bc:22:28:21:09:24,CSE-205,-55
4,1,0,2412,18:0f:76:c3:06:8d,CSE-304,-56
5,1,0,2462,26:94:5a:1b:90:4d,Tatakae🥷,-58
6,1,0,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-60
7,1,0,2437,bc:22:28:21:09:ba,CSE-206,-60
8,1,0,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-61
9,1,0,2412,00:22:b0:05:f3:bc,CSE-204,-62
10,1,0,2437,56:f1:5f:2e:f3:7a,Horion_yj,-62
11,1,0,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-62
12,1,0,2462,bc:22:28:21:55:6e,CSE-104,-65
13,1,0,2432,5e:a9:31:22:bb:0a,CSE-LAB,-65
14,1,0,2457,34:60:f9:a1:88:56,,-66
15,1,0,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-67
16,1,0,2457,36:20:f9:a1:88:62,CSE OFFICE,-67
17,1,0,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-70
18,1,0,2457,36:20:f9:a1:88:56,CSE OFFICE,-71
19,1,0,2437,70:4c:a5:64:bc:61,eduroam,-75
20,1,0,2412,bc:62:ce:6a:3a:2a,RBH 204,-80
21,1,0,2412,00:22:b0:05:f3:51,CSE-108,-81
22,1,1,2462,26:94:5a:1b:90:4d,Tatakae🥷,-42
23,1,1,2432,60:63:4c:31:37:40,CSE-303,-49
24,1,1,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-50
25,1,1,2412,18:0f:76:c3:06:8d,CSE-304,-52
26,1,1,2457,bc:22:28:21:09:24,CSE-205,-55
27,1,1,2437,56:f1:5f:2e:f3:7a,Horion_yj,-56
28,1,1,2457,36:20:f9:a1:88:62,CSE OFFICE,-58
29,1,1,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-61
30,1,1,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-63
31,1,1,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-64
32,1,1,2462,bc:22:28:21:55:6e,CSE-104,-65
33,1,1,2432,5e:a9:31:22:bb:0a,CSE-LAB,-65
34,1,1,2412,00:22:b0:05:f3:bc,CSE-204,-66
35,1,1,2437,bc:22:28:21:09:ba,CSE-206,-69
36,1,1,2457,34:60:f9:a1:88:56,,-69
37,1,1,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-70
38,1,1,2457,36:20:f9:a1:88:56,CSE OFFICE,-71
39,1,1,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-72
40,1,1,2457,34:60:f9:a1:8b:8e,,-73
41,1,1,2457,36:20:f9:a1:8b:8e,CSE OFFICE,-73
42,1,1,2437,70:4c:a5:64:bc:61,eduroam,-75
43,1,1,2432,5c:e9:31:22:be:d6,,-79
44,1,1,2412,bc:62:ce:6a:3a:2a,RBH 204,-80
45,1,1,2432,5e:a9:31:22:be:d6,CSE-LAB,-80
46,1,1,2412,00:22:b0:05:f3:51,CSE-108,-81
47,1,2,2432,60:63:4c:31:37:40,CSE-303,-49
48,1,2,2412,00:22:b0:05:f3:bc,CSE-204,-52
49,1,2,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-55
50,1,2,2462,26:94:5a:1b:90:4d,Tatakae🥷,-55
51,1,2,2457,bc:22:28:21:09:24,CSE-205,-55
52,1,2,2437,56:f1:5f:2e:f3:7a,Horion_yj,-56
53,1,2,2457,36:20:f9:a1:88:62,CSE OFFICE,-58
54,1,2,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-59
55,1,2,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-63
56,1,2,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-64
57,1,2,2462,bc:22:28:21:55:6e,CSE-104,-65
58,1,2,2432,5e:a9:31:22:bb:0a,CSE-LAB,-65
59,1,2,2412,18:0f:76:c3:06:8d,CSE-304,-67
60,1,2,2437,bc:22:28:21:09:ba,CSE-206,-69
61,1,2,2457,34:60:f9:a1:88:56,,-69
62,1,2,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-70
63,1,2,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-70
64,1,2,2462,34:e8:94:10:7d:fa,Hall of Fame,-70
65,1,2,2457,36:20:f9:a1:88:56,CSE OFFICE,-71
66,1,2,2452,cc:2d:21:36:d7:90,Savage-us,-72
67,1,2,2457,34:60:f9:a1:8b:8e,,-73
68,1,2,2457,36:20:f9:a1:8b:8e,CSE OFFICE,-73
69,1,2,2437,70:4c:a5:64:bc:61,eduroam,-75
70,1,2,2412,56:24:f1:d4:40:ff,Redmi Note 10,-78
71,1,2,2432,5c:e9:31:22:be:d6,,-79
72,1,2,2412,bc:62:ce:6a:3a:2a,RBH 204,-80
73,1,2,2432,5e:a9:31:22:be:d6,CSE-LAB,-80
74,1,2,2412,00:22:b0:05:f3:51,CSE-108,-81
75,1,2,2472,78:98:e8:38:3b:04,Arham 2.5G Network,-89
76,1,3,2412,00:22:b0:05:f3:bc,CSE-204,-52
77,1,3,2457,bc:22:28:21:09:24,CSE-205,-55
78,1,3,2437,56:f1:5f:2e:f3:7a,Horion_yj,-56
79,1,3,2457,36:20:f9:a1:88:62,CSE OFFICE,-58
80,1,3,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-59
81,1,3,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-63
82,1,3,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-64
83,1,3,2432,5e:a9:31:22:bb:0a,CSE-LAB,-65
84,1,3,2412,18:0f:76:c3:06:8d,CSE-304,-67
85,1,3,2437,bc:22:28:21:09:ba,CSE-206,-69
86,1,3,2457,34:60:f9:a1:88:56,,-69
87,1,3,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-70
88,1,3,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-70
89,1,3,2462,34:e8:94:10:7d:fa,Hall of Fame,-70
90,1,3,2457,36:20:f9:a1:88:56,CSE OFFICE,-71
91,1,3,2452,cc:2d:21:36:d7:90,Savage-us,-72
92,1,3,2457,34:60:f9:a1:8b:8e,,-73
93,1,3,2457,36:20:f9:a1:8b:8e,CSE OFFICE,-73
94,1,3,2437,70:4c:a5:64:bc:61,eduroam,-75
95,1,3,2412,56:24:f1:d4:40:ff,Redmi Note 10,-78
96,1,3,2432,5c:e9:31:22:be:d6,,-79
97,1,3,2432,5e:a9:31:22:be:d6,CSE-LAB,-80
98,1,3,2472,78:98:e8:38:3b:04,Arham 2.5G Network,-89
99,1,4,2412,00:22:b0:05:f3:bc,CSE-204,-48
100,1,4,2457,bc:22:28:21:09:24,CSE-205,-57
101,1,4,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-58
102,1,4,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-59
103,1,4,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-60
104,1,4,2462,26:94:5a:1b:90:4d,Tatakae🥷,-60
105,1,4,2432,60:63:4c:31:37:40,CSE-303,-61
106,1,4,2457,36:20:f9:a1:88:62,CSE OFFICE,-61
107,1,4,2462,34:e8:94:10:7d:fa,Hall of Fame,-62
108,1,4,2432,5c:e9:31:22:bb:0a,,-62
109,1,4,2457,34:60:f9:a1:88:62,,-62
110,1,4,2432,5e:a9:31:22:bb:0a,CSE-LAB,-63
111,1,4,2462,bc:22:28:21:55:6e,CSE-104,-64
112,1,4,2437,56:f1:5f:2e:f3:7a,Horion_yj,-64
113,1,4,2457,34:60:f9:a1:88:56,,-64
114,1,4,2457,36:20:f9:a1:88:56,CSE OFFICE,-65
115,1,4,2412,18:0f:76:c3:06:8d,CSE-304,-67
116,1,4,2437,bc:22:28:21:09:ba,CSE-206,-69
117,1,4,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-70
118,1,4,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-71
119,1,4,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-73
120,1,4,2457,34:60:f9:a1:8b:8e,,-73
121,1,4,2457,36:20:f9:a1:8b:8e,CSE OFFICE,-73
122,1,4,2437,70:4c:a5:64:bc:61,eduroam,-75
123,1,4,2452,cc:2d:21:36:d7:90,Savage-us,-77
124,1,4,2462,00:1e:2a:ba:c8:20,CSE-401,-77
125,1,4,2412,56:24:f1:d4:40:ff,Redmi Note 10,-78
126,1,4,2432,5c:e9:31:22:be:d6,,-79
127,1,4,2432,5e:a9:31:22:be:d6,CSE-LAB,-80
128,1,4,2472,78:98:e8:38:3b:04,Arham 2.5G Network,-87
129,1,4,2452,5c:e9:31:97:28:f4,Room no 1103,-87
130,1,4,2472,34:0a:33:6a:24:5e,ROOM-713,-92
131,1,5,2412,00:22:b0:05:f3:bc,CSE-204,-48
