,Galaxy M124213,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-108,CSE-404,CSE-G04,CSE-G07,CSE-306,dlink,
CSE_204_r4c0_o,-66.27,-60.47,-67.29,-58.46,-80.27,-71.8,-54.07,-77.0,-78.37,-83.75,-83.17,-73.33,-88.0,0
CSE_204_r4c4_i,-63.53,-47.0,-76.5,-60.33,-66.44,-52.0,-69.0,-90.0,-83.5,-86.6,-90.0,-90.0,-88.0,1
CSE_204_r0c5_o,-74.22,-60.94,-57.4,-71.67,-59.57,-44.0,-59.87,-89.5,-90.0,-83.67,-90.0,-77.5,-79.17,0
CSE_204_r3c2_i,-37.44,-58.67,-64.25,-51.56,-70.62,-69.71,-52.56,-86.77,-70.0,-90.0,-84.44,-87.0,-85.47,1
CSE_204_r0c3_o,-70.0,-57.41,-55.75,-65.33,-73.82,-52.0,-56.64,-81.89,-72.29,-80.0,-84.75,-70.43,-90.0,0
CSE_204_r3c4_i,-43.0,-53.72,-68.92,-57.64,-58.59,-72.09,-58.12,-89.0,-80.33,-83.33,-89.0,-90.0,-87.0,1
CSE_204_r0c1_o,-66.94,-74.17,-58.5,-56.87,-83.64,-67.93,-46.4,-83.31,-78.67,-65.93,-66.58,-67.86,-90.0,0
CSE_204_r3c0_o,-53.24,-64.75,-66.14,-60.2,-72.0,-72.25,-48.0,-77.0,-76.37,-90.0,-86.2,-82.0,-90.0,0
CSE_204_r4c2_i,-65.28,-55.83,-54.73,-45.56,-73.25,-66.56,-58.54,-85.25,-71.69,-84.0,-76.83,-77.0,-77.71,1
CSE_204_r1c2_i,-57.76,-59.76,-67.0,-57.31,-73.57,-67.93,-65.67,-85.79,-76.57,-88.0,-87.67,-90.0,-82.65,1
CSE_204_r1c4_i,-63.37,-61.33,-72.0,-65.25,-71.0,-81.33,-68.8,-87.5,-82.71,-90.0,-90.0,-90.0,-90.0,1
CSE_204_r1c0_o,-64.94,-69.58,-75.5,-63.8,-73.6,-72.67,-52.86,-77.53,-90.0,-90.0,-83.9,-81.5,-90.0,0
CSE_204_r2c0_o,-65.44,-68.71,-77.0,-62.92,-75.27,-78.33,-49.18,-81.07,-77.25,-87.0,-76.38,-72.56,-90.0,0
CSE_204_r2c4_i,-55.39,-56.0,-61.79,-54.5,-70.93,-66.45,-62.5,-90.0,-83.5,-85.5,-84.09,-88.0,-90.0,1
CSE_204_r2c2_i,-48.06,-57.44,-63.27,-53.82,-66.93,-65.67,-56.62,-84.0,-76.4,-90.0,-89.33,-90.0,-79.83,1
CSE_204_r0c4_o,-65.0,-47.75,-54.0,-66.6,-67.62,-49.69,-59.0,-87.33,-90.0,-82.75,-89.33,-79.0,-71.0,0
CSE_204_r3c1_i,-49.78,-66.56,-56.1,-42.0,-71.12,-68.56,-44.0,-79.75,-71.0,-79.0,-81.89,-82.25,-82.44,1
CSE_204_r0c2_o,-64.0,-69.5,-54.5,-60.71,-74.85,-64.15,-54.18,-86.09,-82.0,-72.0,-75.42,-71.25,-63.0,0
CSE_204_r3c3_i,-52.13,-58.29,-69.58,-59.15,-67.06,-68.31,-64.71,-87.33,-90.0,-82.75,-86.0,-81.5,-86.19,1
CSE_204_r0c0_o,-76.71,-68.19,-59.62,-59.0,-83.0,-68.0,-47.79,-79.5,-78.0,-74.67,-77.45,-67.36,-90.0,0
CSE_204_r4c3_i,-60.0,-51.65,-67.5,-56.14,-62.28,-66.17,-64.0,-83.67,-69.0,-85.0,-87.75,-85.67,-84.71,1
CSE_204_r4c1_i,-61.35,-65.0,-58.2,-48.0,-70.62,-67.86,-55.92,-76.17,-72.4,-83.5,-78.78,-74.0,-90.0,1
CSE_204_r1c1_i,-58.41,-65.81,-66.5,-53.62,-69.0,-72.5,-57.53,-77.07,-67.33,-79.5,-85.23,-87.5,-82.35,1
CSE_204_r1c3_i,-59.17,-63.56,-67.0,-56.47,-68.81,-70.62,-58.37,-87.8,-75.2,-87.0,-90.0,-89.0,-85.5,1
CSE_204_r2c3_i,-50.39,-58.56,-58.24,-55.33,-65.6,-68.33,-58.0,-81.73,-78.0,-82.67,-88.0,-90.0,-85.11,1
CSE_204_r2c1_i,-56.0,-60.06,-57.5,-55.43,-70.13,-70.73,-53.83,-79.8,-75.14,-86.0,-87.78,-90.0,-81.0,1
