,Galaxy M124213,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-206108,CSE-404,CSE-G04,CSE-G07,CSE-306,CSE-G09,dlink,
CSE_204_r4c0_o,-59.91,-54.4,-53.8,-52.0,-71.22,-53.75,-48.5,-100.0,-65.17,-83.75,-73.67,-61.33,-80.33,-88.0,0
CSE_204_r4c4_i,-57.73,-42.73,-76.5,-51.0,-60.18,-46.0,-69.0,-100.0,-55.67,-65.0,-100.0,-100.0,-100.0,-88.0,1
CSE_204_r0c5_o,-67.27,-54.82,-49.57,-71.67,-53.91,-39.6,-49.83,-100.0,-100.0,-83.67,-100.0,-77.5,-100.0,-71.91,0
CSE_204_r3c2_i,-33.91,-53.64,-57.11,-47.09,-64.27,-55.8,-47.4,-100.0,-47.67,-100.0,-70.17,-87.0,-100.0,-77.64,1
CSE_204_r0c3_o,-63.64,-51.7,-49.89,-54.17,-66.2,-46.33,-50.22,-100.0,-54.5,-80.0,-67.6,-53.25,-100.0,-100.0,0
CSE_204_r3c4_i,-39.09,-48.82,-61.44,-48.0,-53.18,-60.33,-52.2,-100.0,-80.33,-83.33,-89.0,-100.0,-100.0,-87.0,1
CSE_204_r0c1_o,-60.82,-67.55,-52.6,-52.5,-71.43,-60.33,-42.45,-100.0,-78.67,-58.67,-58.25,-58.0,-79.67,-100.0,0
CSE_204_r3c0_o,-48.27,-58.91,-49.75,-50.0,-65.45,-57.8,-41.29,-100.0,-61.0,-100.0,-73.86,-82.0,-86.0,-100.0,0
CSE_204_r4c2_i,-59.09,-50.36,-45.83,-41.36,-66.36,-59.7,-52.5,-100.0,-63.56,-84.0,-65.86,-77.0,-100.0,-70.73,1
CSE_204_r1c2_i,-52.36,-54.18,-59.56,-51.5,-66.1,-61.2,-49.0,-100.0,-58.0,-88.0,-73.0,-100.0,-100.0,-74.5,1
CSE_204_r1c4_i,-57.55,-56.36,-54.0,-65.25,-64.55,-81.33,-45.67,-100.0,-61.75,-100.0,-100.0,-100.0,-100.0,-100.0,1
CSE_204_r1c0_o,-59.0,-62.11,-57.0,-54.57,-65.33,-60.33,-47.0,-100.0,-100.0,-100.0,-73.25,-81.5,-85.0,-100.0,0
CSE_204_r2c0_o,-59.36,-62.0,-66.0,-54.87,-67.8,-52.0,-44.2,-100.0,-77.25,-87.0,-67.67,-62.29,-100.0,-100.0,0
CSE_204_r2c4_i,-50.36,-51.09,-54.78,-47.87,-64.45,-58.12,-56.2,-100.0,-83.5,-85.5,-70.0,-88.0,-100.0,-100.0,1
CSE_204_r2c2_i,-43.73,-51.91,-53.17,-49.0,-60.82,-57.5,-50.22,-100.0,-50.67,-100.0,-60.0,-100.0,-100.0,-72.64,1
CSE_204_r0c4_o,-59.09,-43.1,-48.0,-50.25,-60.9,-44.5,-59.0,-100.0,-100.0,-82.75,-89.33,-79.0,-85.0,-64.55,0
CSE_204_r3c1_i,-45.27,-59.6,-48.57,-38.36,-63.22,-57.0,-39.6,-100.0,-71.0,-79.0,-68.17,-82.25,-87.5,-74.91,1
CSE_204_r0c2_o,-58.18,-63.27,-49.73,-54.6,-67.1,-56.37,-48.7,-100.0,-82.0,-60.0,-67.0,-62.0,-83.0,-57.27,0
CSE_204_r3c3_i,-47.09,-51.9,-62.9,-51.87,-60.5,-59.75,-57.67,-100.0,-100.0,-82.75,-57.33,-81.5,-100.0,-76.67,1
CSE_204_r0c0_o,-69.64,-61.11,-52.12,-47.0,-83.0,-58.57,-43.0,-100.0,-78.0,-74.67,-69.5,-58.87,-74.5,-100.0,0
CSE_204_r4c3_i,-54.55,-47.0,-56.17,-50.0,-56.36,-57.87,-51.4,-100.0,-45.67,-85.0,-87.75,-85.67,-83.0,-76.2,1
CSE_204_r4c1_i,-55.82,-59.36,-50.87,-43.64,-64.09,-60.56,-48.87,-100.0,-47.67,-83.5,-65.67,-55.5,-54.0,-100.0,1
CSE_204_r1c1_i,-53.0,-59.64,-66.5,-48.82,-62.73,-54.25,-52.0,-100.0,-57.33,-79.5,-74.5,-87.5,-100.0,-74.73,1
CSE_204_r1c3_i,-53.64,-58.0,-53.4,-51.36,-62.45,-61.62,-53.0,-100.0,-57.0,-87.0,-100.0,-89.0,-100.0,-77.82,1
CSE_204_r2c3_i,-46.18,-53.27,-52.9,-49.11,-59.55,-58.57,-51.44,-100.0,-78.0,-82.67,-75.43,-100.0,-100.0,-77.45,1
CSE_204_r2c1_i,-50.91,-54.1,-45.8,-49.8,-63.2,-61.75,-48.5,-100.0,-62.83,-86.0,-75.14,-100.0,-86.5,-73.64,1
