,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-G04,CSE-G07,CSE-306,dlink,CSE-401,
CSE203_Day1_testing_17_o,-69.5,-71.75,-76.11,-78.85,-50.65,-79.0,0.0,0.0,-88.0,0.0,-80.79,0
CSE203_Day1_testing_04_i,-77.94,-69.16,-76.25,0.0,-77.11,-76.5,-86.0,-90.0,0.0,0.0,-83.82,1
CSE203_Day1_testing_05_i,-79.0,-74.36,-74.8,-84.36,-74.61,-76.33,0.0,0.0,0.0,0.0,-85.5,1
CSE203_Day1_testing_10_o,-76.0,-55.67,-56.31,-77.31,-70.07,-52.84,-75.5,-85.53,-69.67,0.0,-88.0,0
CSE203_Day1_testing_06_i,-74.79,-74.79,-75.92,-78.0,-48.0,-75.12,-90.0,0.0,0.0,0.0,-86.25,1
CSE203_Day1_testing_11_o,-69.95,-61.5,-58.59,-71.67,-59.71,-62.47,-88.67,-85.1,-77.33,0.0,-86.0,0
CSE203_Day1_testing_07_i,-65.15,-68.85,-72.44,-75.87,-60.28,-71.0,0.0,-89.36,-90.0,0.0,-79.42,1
CSE203_Day1_testing_12_o,-63.63,-61.56,-56.65,-80.76,-64.47,-60.75,-89.67,-88.5,-83.0,0.0,-88.0,0
CSE203_Day1_testing_08_i,-66.22,-67.08,-66.38,-79.77,-65.53,-67.56,-87.0,-90.0,-90.0,0.0,-83.08,1
CSE203_Day1_testing_13_o,-57.05,-56.63,-68.75,-74.32,-59.94,-60.17,-83.75,0.0,-83.0,0.0,-80.33,0
CSE203_Day1_testing_09_i,-76.65,-69.7,-73.07,-76.13,-62.22,-75.0,-81.0,-90.0,0.0,0.0,-89.6,1
CSE203_Day1_testing_14_o,-64.39,-59.42,-65.2,-70.12,-58.17,-59.55,0.0,0.0,-89.0,0.0,-83.71,0
CSE203_Day1_testing_15_o,-70.0,-72.33,-79.0,-72.56,-53.0,-74.73,-86.0,0.0,0.0,0.0,-86.0,0
CSE203_Day1_testing_16_o,-71.67,-71.0,-76.5,-76.78,-50.0,-75.71,-86.0,0.0,0.0,0.0,-84.0,0
CSE203_Day1_testing_01_i,-75.0,-66.0,-70.41,-82.55,-65.06,-71.0,-78.0,-86.75,-88.6,0.0,-87.0,1
CSE203_Day1_testing_02_i,-73.05,-65.29,-61.82,-83.2,-65.61,-67.12,-85.12,-90.0,-88.44,0.0,0.0,1
CSE203_Day1_testing_03_i,-77.28,-67.17,-72.5,0.0,-68.46,-67.07,0.0,0.0,-89.0,0.0,-84.57,1
