,CSE-204,CSE-303,CSE-304,Hall of Fame,DataLab@BUET,CSE-206,CSE-108,CSE-404,CSE-G04,CSE-G07,CSE-306,dlink,
CSE204_Day1_testing_01_i,-64.0,-62.78,-47.19,-74.06,-74.75,-62.5,0.0,-66.0,0.0,-88.0,-85.0,0.0,1
CSE204_Day1_testing_02_i,-59.11,-60.75,-51.45,-77.77,-75.25,-60.1,0.0,0.0,0.0,-85.67,-81.14,0.0,1
CSE204_Day1_testing_05_i,-59.12,-70.5,-68.0,-82.63,-74.43,-59.64,0.0,0.0,0.0,0.0,-87.0,0.0,1
CSE204_Day1_testing_10_o,-68.73,-53.69,-61.62,-77.0,-72.0,-57.7,0.0,0.0,0.0,-87.0,-75.0,0.0,0
CSE204_Day1_testing_06_i,-49.37,-65.75,-55.5,-65.37,-72.67,-46.62,0.0,0.0,0.0,0.0,-86.0,0.0,1
CSE204_Day1_testing_11_o,-65.67,-56.36,-60.0,-75.08,-72.87,-58.45,0.0,-79.0,-70.17,0.0,-77.33,0.0,0
CSE204_Day1_testing_03_i,-68.06,-71.5,-59.14,-85.37,-75.0,-62.22,0.0,0.0,0.0,0.0,0.0,0.0,1
CSE204_Day1_testing_04_i,-64.55,-72.0,-63.12,-74.36,-72.5,-63.86,0.0,0.0,0.0,0.0,0.0,0.0,1
CSE204_Day1_testing_09_i,-57.07,-60.67,-46.19,-68.36,-73.0,-58.8,0.0,0.0,0.0,-80.5,-87.0,0.0,1
CSE204_Day1_testing_14_o,-58.33,-60.37,-73.5,-72.84,-62.75,-54.87,0.0,0.0,0.0,0.0,-75.4,0.0,0
CSE204_Day1_testing_15_o,-68.58,-68.2,-57.12,-79.25,-78.17,-57.76,-85.67,-79.33,-85.67,-81.65,-84.8,0.0,0
CSE204_Day1_testing_07_i,-40.47,-70.43,-67.0,-68.5,-64.56,-67.0,0.0,0.0,0.0,0.0,-89.0,0.0,1
CSE204_Day1_testing_12_o,-67.8,-63.82,-62.8,-75.57,-72.08,-65.0,0.0,0.0,0.0,-75.59,-75.78,0.0,0
CSE204_Day1_testing_08_i,-64.93,-68.37,-60.25,-74.92,-74.0,-64.0,0.0,0.0,0.0,-88.0,-84.0,0.0,1
CSE204_Day1_testing_13_o,-52.47,-54.2,-70.83,-72.73,-67.46,-57.0,0.0,0.0,-83.0,-89.0,-78.5,0.0,0
CSE204_Day1_testing_18_o,-69.36,-52.73,-58.4,-79.5,-66.11,-62.0,0.0,0.0,-74.0,-81.0,-77.43,0.0,0
CSE204_Day1_testing_16_o,-75.0,-69.75,-65.0,-82.12,-82.5,-52.68,-88.0,0.0,0.0,-85.5,-82.75,0.0,0
CSE204_Day1_testing_17_o,-74.59,-76.0,-66.0,-81.46,-86.0,-47.8,-85.91,0.0,0.0,-81.0,-86.57,0.0,0
