scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
1,1,0,2462,26:94:5a:1b:90:4d,Tatakae🥷,-58
2,1,0,2412,56:24:f1:d4:40:ff,Redmi Note 10,-71
3,1,0,5805,34:60:f9:a1:88:57,,-68
4,1,0,5765,70:4c:a5:95:a4:21,eduroam,-91
5,1,0,2457,34:60:f9:a1:88:56,,-52
6,1,0,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-61
7,1,0,2412,a6:59:c9:64:d6:36,Pixel_5325,-61
8,1,0,5785,bc:22:28:21:09:b7,,-84
9,1,0,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-52
10,2,0,2462,26:94:5a:1b:90:4d,Tatakae🥷,-75
11,2,0,2432,60:63:4c:31:37:40,CSE-303,-58
12,2,0,,34:60:f9:a1:88:57,,-82
13,3,0,5745,1e:61:b4:ac:79:f3,CSE-306BL,-91
14,3,0,5805,34:60:f9:a1:8b:8f,,-89
15,3,0,5805,34:60:f9:a1:88:63,,-82
16,3,0,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-71
17,3,0,5805,36:62:f9:a1:8b:8f,CSE OFFICE,-89
18,3,0,5765,bc:22:28:21:55:6b,CSE-104,-83
19,3,0,5745,52:29:6f:70:e8:02,Shakshor,-70
20,3,0,2462,60:63:4c:31:37:60,CSE-306,-59
21,3,0,5805,36:62:f9:a1:88:63,CSE OFFICE,-82
22,3,0,5785,bc:22:28:21:09:21,CSE-205,-54
23,3,0,2412,00:22:b0:05:f3:bc,CSE-204,-58
24,3,0,2412,18:0f:76:c3:06:8d,CSE-304,-58
25,3,1,5745,1e:61:b4:ac:79:f3,CSE-306BL,-91
26,3,1,5805,34:60:f9:a1:8b:8f,,-89
27,3,1,5805,34:60:f9:a1:88:63,,-82
28,3,1,,30:b5:c2:ea:5b:44,DataLab@BUET,-71
29,4,0,2462,26:94:5a:1b:90:4d,Tatakae🥷,-57
30,4,0,2412,46:b7:e8:94:1b:31,Galaxy A54 5G DACD,-67
31,4,0,2457,34:60:f9:a1:88:56,,-70
32,4,0,5805,34:60:f9:a1:88:63,,-77
33,4,0,5785,bc:22:28:21:09:b8,,-73
34,4,0,5785,bc:22:28:21:09:b7,,-74
35,4,0,5745,52:29:6f:70:e8:02,Shakshor,-70
36,4,0,2457,36:20:f9:a1:88:62,CSE OFFICE,-56
37,4,0,5805,36:62:f9:a1:88:63,CSE OFFICE,-77
38,4,0,2457,bc:22:28:21:09:24,CSE-205,-68
39,4,0,5785,bc:22:28:21:09:22,,-75
40,4,0,5785,bc:22:28:21:09:21,CSE-205,-77
41,4,0,2457,36:20:f9:a1:88:56,CSE OFFICE,-71
42,4,0,2462,bc:22:28:21:55:6e,CSE-104,-73
43,4,0,2412,18:0f:76:c3:06:8d,CSE-304,-59
44,4,1,2462,70:4c:a5:95:b6:18,BUET-Free-WiFi,-86
45,4,1,5745,1e:61:b4:ac:79:f3,CSE-306BL,-87
46,4,1,5805,34:60:f9:a1:88:63,,-86
47,4,1,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-74
48,4,1,5785,bc:22:28:21:09:b8,,-75
49,4,1,5785,bc:22:28:21:09:b7,,-76
50,4,1,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-67
51,4,1,2422,24:2f:d0:88:39:a2,,-66
52,4,1,5765,bc:22:28:21:55:6b,CSE-104,-89
53,4,1,5745,52:29:6f:70:e8:02,Shakshor,-60
54,4,1,2462,60:63:4c:31:37:60,CSE-306,-69
55,4,1,2457,36:20:f9:a1:88:62,CSE OFFICE,-55
56,4,1,5805,36:62:f9:a1:88:63,CSE OFFICE,-86
57,4,1,2457,bc:22:28:21:09:24,CSE-205,-59
58,4,1,5785,bc:22:28:21:09:22,,-61
59,4,1,2462,82:af:ca:21:95:ea,,-86
60,4,1,5785,bc:22:28:21:09:21,CSE-205,-61
61,4,1,2412,18:0f:76:c3:06:8d,CSE-304,-55
62,4,2,2462,70:4c:a5:95:b6:18,BUET-Free-WiFi,-86
63,4,2,5745,1e:61:b4:ac:79:f3,CSE-306BL,-87
64,4,2,5805,34:60:f9:a1:88:63,,-86
65,4,2,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-74
66,4,2,5785,bc:22:28:21:09:b8,,-75
67,4,2,5785,bc:22:28:21:09:b7,,-76
68,4,2,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-67
69,4,2,2422,24:2f:d0:88:39:a2,,-66
70,4,2,5765,bc:22:28:21:55:6b,CSE-104,-89
71,4,2,5745,52:29:6f:70:e8:02,Shakshor,-60
72,4,2,2462,60:63:4c:31:37:60,CSE-306,-69
73,4,2,2457,36:20:f9:a1:88:62,CSE OFFICE,-55
74,4,2,5805,36:62:f9:a1:88:63,CSE OFFICE,-86
75,4,2,2457,bc:22:28:21:09:24,CSE-205,-59
76,4,2,5785,bc:22:28:21:09:22,,-61
77,4,2,2462,82:af:ca:21:95:ea,,-86
78,4,2,5785,bc:22:28:21:09:21,CSE-205,-61
79,4,2,2412,18:0f:76:c3:06:8d,CSE-304,-55
80,4,3,2462,70:4c:a5:95:b6:18,BUET-Free-WiFi,-86
81,4,3,5745,1e:61:b4:ac:79:f3,CSE-306BL,-87
82,4,3,5805,34:60:f9:a1:88:63,,-86
83,4,3,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-74
84,4,3,5785,bc:22:28:21:09:b8,,-75
85,4,3,5785,bc:22:28:21:09:b7,,-76
86,4,3,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-67
87,4,3,2422,24:2f:d0:88:39:a2,,-66
88,4,3,5765,bc:22:28:21:55:6b,CSE-104,-89
89,4,3,5745,52:29:6f:70:e8:02,Shakshor,-60
90,4,3,2462,60:63:4c:31:37:60,CSE-306,-69
91,4,3,2457,36:20:f9:a1:88:62,CSE OFFICE,-55
92,4,3,5805,36:62:f9:a1:88:63,CSE OFFICE,-86
93,4,3,2457,bc:22:28:21:09:24,CSE-205,-59
94,4,3,5785,bc:22:28:21:09:22,,-61
95,4,3,2462,82:af:ca:21:95:ea,,-86
96,4,3,5785,bc:22:28:21:09:21,CSE-205,-61
97,4,3,2412,18:0f:76:c3:06:8d,CSE-304,-55
98,4,4,2462,70:4c:a5:95:b6:18,BUET-Free-WiFi,-86
99,4,4,5745,1e:61:b4:ac:79:f3,CSE-306BL,-87
100,4,4,5805,34:60:f9:a1:88:63,,-86
101,4,4,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-74
102,4,4,5785,bc:22:28:21:09:b8,,-75
103,4,4,5785,bc:22:28:21:09:b7,,-76
104,4,4,2437,d2:21:d7:af:f0:ae,Fihad's Galaxy,-67
105,4,4,2422,24:2f:d0:88:39:a2,,-66
106,4,4,5765,bc:22:28:21:55:6b,CSE-104,-89
107,4,4,5745,52:29:6f:70:e8:02,Shakshor,-60
108,4,4,2462,60:63:4c:31:37:60,CSE-306,-69
109,4,4,2457,36:20:f9:a1:88:62,CSE OFFICE,-55
110,4,4,5805,36:62:f9:a1:88:63,CSE OFFICE,-86
111,4,4,2457,bc:22:28:21:09:24,CSE-205,-59
112,4,4,5785,bc:22:28:21:09:22,,-61
113,4,4,2462,82:af:ca:21:95:ea,,-86
114,4,4,5785,bc:22:28:21:09:21,CSE-205,-61
115,4,4,2412,18:0f:76:c3:06:8d,CSE-304,-55
116,4,5,2462,70:4c:a5:95:b6:18,BUET-Free-WiFi,-86
117,4,5,5745,1e:61:b4:ac:79:f3,CSE-306BL,-87
118,4,5,5805,34:60:f9:a1:88:63,,-86
119,4,5,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-74
120,4,5,5785,bc:22:28:21:09:b8,,-75
121,4,5,5785,bc:22:28:21:09:b7,,-76
