entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
1,20,bc:22:28:21:09:24,CSE-205,15,-53.13,2.39,-52.67,9,1.05
1,20,bc:22:28:21:09:21,CSE-205,20,-60.15,1.39,-60.33,12,0.62
1,20,30:b5:c2:ea:5b:44,DataLab@BUET,5,-69.2,1.94,-69.67,3,1.25
1,20,36:20:f9:a1:88:62,CSE OFFICE,7,-65.29,2.55,-65.25,4,1.79
1,20,60:63:4c:31:37:40,CSE-303,11,-54.55,4.68,-54.67,6,3.82
1,20,bc:22:28:21:55:6b,CSE-104,2,-91.5,0.5,-91.5,2,0.5
1,20,00:22:b0:05:f3:bc,CSE-204,7,-74.0,0.53,-74.0,4,0.0
1,20,18:0f:76:c3:06:8d,CSE-304,8,-65.5,1.73,-65.0,5,0.0
1,20,10:62:eb:77:b7:42,CSE-G04,7,-70.43,1.05,-70.0,4,0.0
1,20,36:62:f9:a1:88:63,CSE OFFICE,8,-86.75,1.09,-87.0,5,0.0
1,20,36:20:f9:a1:8b:8e,CSE OFFICE,1,-71.0,0.0,-71.0,1,0.0
2,20,36:62:f9:a1:88:63,CSE OFFICE,20,-85.15,2.24,-84.75,12,1.09
2,20,36:20:f9:a1:88:62,CSE OFFICE,20,-67.8,4.32,-67.33,12,3.22
2,20,bc:22:28:21:55:6b,CSE-104,20,-85.15,2.17,-85.0,12,2.0
2,20,bc:22:28:21:09:21,CSE-205,20,-59.7,2.24,-59.33,12,0.75
2,20,00:22:b0:05:f3:bc,CSE-204,20,-67.45,3.65,-67.25,12,2.65
2,20,60:63:4c:31:37:40,CSE-303,20,-65.9,3.52,-65.75,12,1.88
2,20,60:63:4c:31:37:48,dlink,20,-83.2,2.6,-83.17,12,1.57
2,20,bc:22:28:21:09:24,CSE-205,20,-57.55,3.5,-57.17,12,1.34
2,20,30:b5:c2:ea:5b:44,DataLab@BUET,19,-67.32,4.86,-66.83,12,3.87
2,20,18:0f:76:c3:06:8d,CSE-304,14,-68.71,3.15,-68.67,9,1.89
