entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
1,20,96:33:56:57:7a:84,iPhone (3),10,-72.6,3.83,-72.0,6,0.0
1,20,34:60:f9:a1:88:62,,5,-65.6,2.42,-65.0,3,0.82
1,20,5c:e8:d3:0a:1e:e0,!FreeNet,11,-66.91,6.76,-66.67,6,5.96
1,20,34:60:f9:a1:88:63,,7,-87.86,0.35,-88.0,4,0.0
1,20,bc:22:28:21:09:24,CSE-205,15,-53.13,2.39,-52.67,9,1.05
1,20,5c:e9:31:22:be:d6,,1,-72.0,0.0,-72.0,1,0.0
1,20,bc:22:28:21:09:22,,4,-60.5,1.8,-60.5,4,1.8
1,20,bc:22:28:21:09:21,CSE-205,20,-60.15,1.39,-60.33,12,0.62
1,20,26:94:5a:1b:90:4d,Tatakae🥷,14,-58.43,6.83,-59.78,9,3.91
1,20,30:b5:c2:ea:5b:44,DataLab@BUET,5,-69.2,1.94,-69.67,3,1.25
1,20,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,8,-73.62,1.87,-74.0,5,0.0
1,20,bc:22:28:21:09:b7,,8,-88.88,0.33,-89.0,5,0.0
1,20,34:60:f9:a1:8b:8e,,3,-72.0,0.82,-72.0,3,0.82
1,20,5e:a9:31:22:be:d6,CSE-LAB,1,-72.0,0.0,-72.0,1,0.0
1,20,36:20:f9:a1:88:62,CSE OFFICE,7,-65.29,2.55,-65.25,4,1.79
1,20,60:63:4c:31:37:40,CSE-303,11,-54.55,4.68,-54.67,6,3.82
1,20,aa:bb:60:c1:1d:bd,Tanveer's Galaxy A32,1,-64.0,0.0,-64.0,1,0.0
1,20,8e:94:9f:cb:b9:b0,Fuad's A54,18,-58.0,4.01,-58.0,11,2.26
1,20,8e:fa:5f:79:06:05,Ei j eta amar wifi,19,-47.37,9.29,-48.17,12,7.55
1,20,8e:f6:fd:8d:6d:a4,POCO X3 Pro,13,-63.15,1.41,-63.0,8,0.0
1,20,46:44:d1:b3:33:78,Galaxy M12 396F,18,-64.67,3.23,-64.45,11,1.92
1,20,bc:22:28:21:55:6c,,2,-91.0,1.0,-91.0,2,1.0
1,20,bc:22:28:21:55:6b,CSE-104,2,-91.5,0.5,-91.5,2,0.5
1,20,00:22:b0:05:f3:bc,CSE-204,7,-74.0,0.53,-74.0,4,0.0
1,20,56:f1:5f:2e:db:20,Horion_j6,6,-73.0,0.0,-73.0,3,0.0
1,20,18:0f:76:c3:06:8d,CSE-304,8,-65.5,1.73,-65.0,5,0.0
1,20,10:62:eb:77:b7:42,CSE-G04,7,-70.43,1.05,-70.0,4,0.0
1,20,36:62:f9:a1:88:63,CSE OFFICE,8,-86.75,1.09,-87.0,5,0.0
1,20,56:f1:5f:2e:f3:7a,Horion_yj,2,-74.5,3.5,-74.5,2,3.5
1,20,d2:21:d7:af:f0:ae,Fihad's Galaxy,6,-71.33,0.75,-71.0,3,0.0
1,20,bc:22:28:21:09:b8,,2,-89.5,1.5,-89.5,2,1.5
1,20,bc:62:ce:6a:3a:2a,RBH 204,1,-71.0,0.0,-71.0,1,0.0
1,20,36:20:f9:a1:8b:8e,CSE OFFICE,1,-71.0,0.0,-71.0,1,0.0
2,20,5c:e9:31:22:be:d6,,20,-77.35,1.74,-77.75,12,0.72
2,20,bc:62:ce:6a:3a:2a,RBH 204,15,-72.07,1.34,-72.44,9,1.07
2,20,36:62:f9:a1:88:63,CSE OFFICE,20,-85.15,2.24,-84.75,12,1.09
2,20,2c:fe:e2:59:d0:c2,Horion_e9,20,-66.05,3.31,-66.08,12,1.85
2,20,bc:22:28:21:55:6c,,20,-86.1,1.58,-86.25,12,1.3
