macAddress,ssid,total_count
30:b5:c2:ea:5b:44,DataLab@BUET,69
60:63:4c:31:37:40,CSE-303,69
00:22:b0:05:f3:bc,CSE-204,65
18:0f:76:c3:06:8d,CSE-304,65
36:20:f9:a1:88:62,CSE OFFICE,63
36:20:f9:a1:88:56,CSE OFFICE,62
34:60:f9:a1:88:62,,55
34:60:f9:a1:88:56,,54
34:e8:94:10:7d:fa,Hall of Fame,50
36:62:f9:a1:88:63,CSE OFFICE,49
26:94:5a:1b:90:4d,Tatakae🥷,49
34:60:f9:a1:88:63,,48
bc:22:28:21:55:6e,CSE-104,47
5e:a9:31:22:bb:0a,CSE-LAB,47
36:20:f9:a1:8b:8e,CSE OFFICE,47
bc:22:28:21:55:6b,CSE-104,47
bc:22:28:21:09:21,CSE-205,47
bc:22:28:21:09:ba,CSE-206,45
d2:21:d7:af:f0:ae,Fihad's Galaxy,45
bc:22:28:21:09:b7,CSE-206,45
bc:22:28:21:09:24,CSE-205,44
5e:a9:31:22:be:d6,CSE-LAB,43
5c:e9:31:22:bb:0a,,43
bc:22:28:21:09:22,,42
bc:22:28:21:09:b8,,42
60:63:4c:31:37:60,CSE-306,40
5c:e9:31:22:be:d6,,40
34:60:f9:a1:8b:8e,,38
26:2f:d0:88:39:a2,IAC,38
bc:22:28:21:55:6c,,37
56:24:f1:d4:40:ff,Redmi Note 10,34
52:29:6f:70:e8:02,Shakshor,34
36:62:f9:a1:88:57,CSE OFFICE,34
24:2f:d0:88:39:a2,,33
bc:62:ce:6a:3a:2a,RBH 204,31
34:60:f9:a1:88:57,,31
10:62:eb:77:b7:42,CSE-G04,30
5c:e8:d3:0a:1e:e0,!FreeNet,28
46:44:d1:b3:33:78,Galaxy M12 396F,27
8e:fa:5f:79:06:05,Ei j eta amar wifi,26
8e:94:9f:cb:b9:b0,Fuad's A54,25
1e:61:b4:ac:7a:1a,CSE-306BL,25
00:1e:2a:ba:c8:20,CSE-401,24
56:f1:5f:2e:f3:7a,Horion_yj,24
1c:61:b4:9c:79:f2,,24
8e:f6:fd:8d:6d:a4,POCO X3 Pro,24
60:63:4c:31:37:48,dlink,23
66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,23
1e:61:b4:ac:79:f2,CSE-306BL,21
00:22:b0:05:f3:51,CSE-108,21
1c:61:b4:9c:7a:1a,,20
cc:2d:21:36:d7:90,Savage-us,19
5c:e9:31:22:c8:de,,18
5e:a9:31:22:c8:de,CSE-LAB,18
d6:2c:9e:ee:4a:20,Jo,16
5e:a9:31:22:bf:96,CSE-LAB,16
24:2f:d0:88:4c:62,,15
96:33:56:57:7a:84,iPhone (3),15
70:4c:a5:95:b6:01,eduroam,14
70:4c:a5:95:b6:00,BUET-Free-WiFi,14
36:56:20:d4:75:60,Rayyan's Galaxy A24,14
70:4c:a5:64:bf:19,eduroam,14
5c:e9:31:22:bf:96,,13
26:2f:d0:88:4c:62,IAC,13
70:4c:a5:64:bf:18,BUET-Free-WiFi,13
70:4c:a5:64:bc:61,eduroam,13
70:4c:a5:64:bc:60,BUET-Free-WiFi,12
12:99:b1:da:35:37,Galaxy M12 834E,12
80:af:ca:11:95:ea,Graduate Lobby,12
be:ed:be:10:4e:dc,Shabab's Galaxy A52,12
2e:87:ba:35:8b:ea,,10
5e:ea:31:22:bb:0b,CSE-LAB,10
78:98:e8:38:3b:04,Arham 2.5G Network,10
a6:59:c9:64:d6:36,Pixel_5325,10
bc:22:28:20:b9:f6,CSE-503,10
ac:15:a2:84:3d:1a,CSE_OBE_CELL,9
70:4c:a5:95:b2:d0,BUET-Free-WiFi,9
